/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S15. Revised site-to-site correlation tie points between ODP Sites 208-1263 and 208-1265. PANGAEA, https://doi.org/10.1594/PANGAEA.917521, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.835017 * LONGITUDE: 2.639233
	DATE/TIME START: 2003-04-08T00:00:00 * DATE/TIME END: 2003-04-15T00:00:00
	MINIMUM DEPTH, sediment/rock: 42.750 m * MAXIMUM DEPTH, sediment/rock: 285.500 m
Event(s):	208-1265 * LATITUDE: -28.835017 * LONGITUDE: 2.639233 * DATE/TIME START: 2003-04-08T00:00:00 * DATE/TIME END: 2003-04-15T00:00:00 * ELEVATION: -3059.6 m * Penetration: 1051.6 m * Recovery: 586.9 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 70 cores; 618.6 m cored; 433 m drilled; 94.9 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tie point (Tie point) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: correctde
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1743 data points
*/
Sample label	Depth sed [m] (mbsf)	Depth comp [mcd]	Tie point	Sample label	Depth sed [m] (mbsf)	Depth comp r [rmcd]	Depth comp r [rmcd] (correctde)	Reference
208-1265B-19-5,50	172.700	195.18	Ties To	208-1263B-5-5,132	91.15	105.40	104.90	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-5,96	173.160	195.64	Ties To	208-1263B-5-6,56	91.89	106.14	105.64	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-6,62	174.320	196.80	Ties To	208-1263C-1-4,85	95.35	108.07	107.57	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-19-3,34	174.340	197.65	Ties To	208-1263C-1-5,56	96.56	109.28	108.78	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-19-3,58	174.580	197.89	Ties To	208-1263C-1-5,89	96.89	109.61	109.11	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-19-3,99	174.990	198.30	Ties To	208-1263B-6-2,22	95.22	110.50	110.00	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-19-3,118	175.180	198.49	Ties To	208-1263B-6-2,60	95.60	110.87	110.37	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-19-4,4	175.540	198.85	Ties To	208-1263B-6-2,146	96.46	111.73	111.23	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-19-4,104	176.540	199.85	Ties To	208-1263B-6-3,112	97.62	112.89	112.39	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-19-5,18	177.180	200.49	Ties To	208-1263B-6-4,24	98.24	113.51	113.01	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-19-5,102	178.020	201.33	Ties To	208-1263B-6-4,96	98.96	114.23	113.73	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-20-3,30	179.000	203.59	Ties To	208-1263B-6-5,138	100.88	116.15	115.65	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-20-1,98	181.480	206.00	Ties To	208-1263C-2-5,25	105.75	122.75	122.75	this study
208-1265A-20-3,28	183.780	208.30	Ties To	208-1263C-2-7,55	108.55	125.55	125.55	Westerhold et al. 2017, corrected by -0.50 cm; new tie
208-1265A-20-4,38	185.380	209.90	Ties To	208-1263B-7-3,117	107.17	127.49	127.49	this study
208-1265B-21-1,88	186.080	211.40	Ties To	208-1263B-7-5,36	109.36	129.68	129.68	this study
208-1265B-21-1,145	186.650	211.97	Ties To	208-1263C-3-2,12	110.62	132.10	132.10	Westerhold et al. 2017
208-1265B-21-2,56	187.260	212.58	Ties To	208-1263C-3-2,81	111.31	132.79	132.79	Westerhold et al. 2017
208-1265B-21-2,90	187.600	212.92	Ties To	208-1263C-3-2,119	111.69	133.17	133.17	Westerhold et al. 2017
208-1265B-21-2,108	187.780	213.10	Ties To	208-1263C-3-3,4	112.04	133.52	133.52	Westerhold et al. 2017
208-1265B-21-3,3	188.230	213.55	Ties To	208-1263C-3-3,82	112.82	134.30	134.30	Westerhold et al. 2017
208-1265B-21-3,143	189.630	214.95	Ties To	208-1263B-8-2,85	114.85	136.42	136.42	Westerhold et al. 2017
208-1265A-21-2,46	191.960	217.61	Ties To	208-1263A-14-3,111	120.41	141.44	141.44	Westerhold et al. 2017
208-1265A-21-2,55	192.050	217.70	Ties To	208-1263B-13-2,93	162.43	190.60	190.60	Westerhold et al. 2017
208-1265A-21-2,88	192.380	218.02	Ties To	208-1263B-13-3,18	163.18	191.35	191.35	Westerhold et al. 2017
208-1265A-21-3,18	193.180	218.82	Ties To	208-1263B-13-4,15	164.65	192.82	192.82	Westerhold et al. 2017
208-1265A-21-3,32	193.320	218.97	Ties To	208-1263B-13-4,55	165.05	193.22	193.22	Westerhold et al. 2017
208-1265A-21-3,50	193.500	219.15	Ties To	208-1263A-19-1,115	164.95	194.01	194.01	Westerhold et al. 2017
208-1265A-21-3,135	194.350	220.00	Ties To	208-1263A-19-3,23	167.03	196.09	196.09	Westerhold et al. 2017
208-1265A-21-4,26	194.760	220.41	Ties To	208-1263A-19-3,134	168.14	197.20	197.20	Westerhold et al. 2017
208-1265A-21-4,40	194.900	220.55	Ties To	208-1263A-19-4,36	168.66	197.72	197.72	Westerhold et al. 2017
208-1265A-21-4,62	195.120	220.77	Ties To	208-1263A-19-4,98	169.28	198.34	198.34	Westerhold et al. 2017
208-1265A-21-4,82	195.320	220.97	Ties To	208-1263A-19-4,146	169.76	198.82	198.82	Westerhold et al. 2017
208-1265C-2-1,118	195.680	221.33	Ties To	208-1263A-19-5,82	170.62	199.68	199.68	Westerhold et al. 2017
208-1265C-2-2,46	196.460	222.11	Ties To	208-1263B-14-2,38	171.38	201.05	201.05	Westerhold et al. 2017
208-1265C-2-2,65	196.650	222.30	Ties To	208-1263B-14-2,71	171.71	201.38	201.38	Westerhold et al. 2017
208-1265C-2-2,113	197.130	222.77	Ties To	208-1263B-14-3,5	172.55	202.22	202.22	Westerhold et al. 2017
208-1265C-2-2,133	197.330	222.98	Ties To	208-1263B-14-3,46	172.96	202.63	202.63	Westerhold et al. 2017
208-1265C-2-3,52	198.020	223.67	Ties To	208-1263B-14-4,32	174.32	203.99	203.99	Westerhold et al. 2017
208-1265C-2-3,113	198.630	224.27	Ties To	208-1263B-14-5,7	175.57	205.24	205.24	Westerhold et al. 2017
208-1265C-2-4,31	199.310	224.96	Ties To	208-1263B-14-5,130	176.80	206.47	206.47	Westerhold et al. 2017
208-1265C-2-4,140	200.400	226.05	Ties To	208-1263A-20-3,20	176.50	207.86	207.86	Westerhold et al. 2017
208-1265C-2-5,67	201.170	226.82	Ties To	208-1263A-20-3,126	177.56	208.92	208.92	Westerhold et al. 2017
208-1265C-2-5,146	201.960	227.61	Ties To	208-1263A-20-4,122	179.02	210.38	210.38	Westerhold et al. 2017
208-1265C-2-6,50	202.500	228.15	Ties To	208-1263B-15-3,52	180.52	211.38	211.38	Westerhold et al. 2017
208-1265C-2-6,90	202.900	228.55	Ties To	208-1263B-15-3,134	181.34	212.19	212.19	Westerhold et al. 2017
208-1265C-2-7,15	203.150	228.80	Ties To	208-1263B-15-4,35	181.85	212.70	212.70	Westerhold et al. 2017
208-1265A-22-2,64	201.640	230.22	Ties To	208-1263B-15-6,86	185.36	216.21	216.21	Westerhold et al. 2017
208-1265A-22-2,116	202.160	230.74	Ties To	208-1263A-21-1,85	183.65	217.48	217.48	Westerhold et al. 2017
208-1265A-22-3,18	202.680	231.26	Ties To	208-1263A-21-2,73	185.03	218.86	218.86	Westerhold et al. 2017
208-1265A-22-3,57	203.070	231.65	Ties To	208-1263A-21-3,20	186.00	219.83	219.83	Westerhold et al. 2017
208-1265A-22-3,83	203.330	231.91	Ties To	208-1263B-16-1,98	187.48	220.61	220.61	Westerhold et al. 2017
208-1265A-22-3,107	203.570	232.15	Ties To	208-1263B-16-2,27	188.27	221.40	221.40	Westerhold et al. 2017
208-1265A-22-4,40	204.400	232.98	Ties To	208-1263B-16-3,120	190.70	223.83	223.83	Westerhold et al. 2017
208-1265A-22-4,59	204.590	233.17	Ties To	208-1263B-16-4,23	191.23	224.36	224.36	Westerhold et al. 2017
208-1265A-22-4,88	204.880	233.46	Ties To	208-1263B-16-4,137	192.37	225.50	225.50	Westerhold et al. 2017
208-1265A-22-4,128	205.280	233.86	Ties To	208-1263B-16-5,115	193.65	226.78	226.78	Westerhold et al. 2017
208-1265A-22-5,14	205.640	234.22	Ties To	208-1263B-16-6,48	194.48	227.61	227.61	Westerhold et al. 2017
208-1265B-23-1,58	204.780	234.53	Ties To	208-1263B-16-6,102	195.02	228.15	228.15	Westerhold et al. 2017
208-1265B-23-1,70	204.900	234.65	Ties To	208-1263B-16-6,128	195.28	228.41	228.41	Westerhold et al. 2017
208-1265B-23-1,96	205.160	234.91	Ties To	208-1263B-16-7,54	196.04	229.17	229.17	Westerhold et al. 2017
208-1265B-23-2,146	207.160	236.91	Ties To	208-1263B-19-2,101	203.51	236.11	236.11	this study
208-1265B-23-3,60	207.800	237.55	Ties To	208-1263A-23-2,146	204.75	237.30	237.30	this study
208-1265B-23-3,132	208.520	238.27	Ties To	208-1263A-23-3,131	206.10	238.65	238.65	Westerhold et al. 2017
208-1265B-23-4,10	208.800	238.55	Ties To	208-1263B-20-1,80	205.70	239.41	239.41	Westerhold et al. 2017
208-1265B-23-4,41	209.110	238.86	Ties To	208-1263B-20-2,30	206.70	240.41	240.41	Westerhold et al. 2017
208-1265B-23-4,62	209.320	239.07	Ties To	208-1263B-20-2,90	207.30	241.01	241.01	Westerhold et al. 2017
208-1265B-23-4,79	209.490	239.24	Ties To	208-1263B-20-2,144	207.84	241.55	241.55	Westerhold et al. 2017
208-1265B-23-4,106	209.760	239.51	Ties To	208-1263B-20-3,88	208.78	242.49	242.49	Westerhold et al. 2017
208-1265B-23-5,13	210.330	240.08	Ties To	208-1263B-20-4,60	210.00	243.71	243.71	Westerhold et al. 2017
208-1265B-23-5,36	210.560	240.31	Ties To	208-1263B-20-4,118	210.58	244.29	244.29	Westerhold et al. 2017
208-1265B-23-5,72	210.920	240.67	Ties To	208-1263B-20-5,37	211.27	244.98	244.98	Westerhold et al. 2017
208-1265B-23-5,82	211.020	240.77	Ties To	208-1263B-20-5,62	211.52	245.23	245.23	Westerhold et al. 2017
208-1265A-23-2,15	210.650	241.13	Ties To	208-1263B-20-5,134	212.24	245.95	245.95	Westerhold et al. 2017
208-1265A-23-2,56	211.060	241.54	Ties To	208-1263B-20-6,84	213.24	246.95	246.95	Westerhold et al. 2017
208-1265A-23-2,123	211.730	242.21	Ties To	208-1263A-24-4,73	213.33	247.98	247.98	Westerhold et al. 2017
208-1265A-23-2,140	211.900	242.38	Ties To	208-1263A-24-4,130	213.90	248.55	248.55	Westerhold et al. 2017
208-1265A-23-3,12	212.120	242.60	Ties To	208-1263A-24-5,42	214.52	249.17	249.17	Westerhold et al. 2017
208-1265A-23-3,54	212.540	243.02	Ties To	208-1263A-24-6,22	215.82	250.47	250.47	Westerhold et al. 2017
208-1265A-23-3,86	212.860	243.34	Ties To	208-1263A-24-6,134	216.94	251.59	251.59	Westerhold et al. 2017
208-1265A-23-3,108	213.080	243.56	Ties To	208-1263B-21-2,72	216.62	252.54	252.54	Westerhold et al. 2017
208-1265A-23-3,148	213.480	243.96	Ties To	208-1263B-21-3,35	217.75	253.67	253.67	Westerhold et al. 2017
208-1265A-23-4,43	213.930	244.40	Ties To	208-1263B-21-4,18	219.08	254.99	254.99	Westerhold et al. 2017
208-1265A-23-4,90	214.400	244.88	Ties To	208-1263B-21-5,13	220.53	256.45	256.45	Westerhold et al. 2017
208-1265A-23-5,38	215.380	245.85	Ties To	208-1263C-7-2,123	224.18	258.45	258.45	Westerhold et al. 2017
208-1265B-24-1,118	214.880	246.32	Ties To	208-1263A-26-1,20	222.80	259.65	259.65	Westerhold et al. 2017
208-1265B-24-2,35	215.550	246.99	Ties To	208-1263A-26-2,13	224.23	261.08	261.08	Westerhold et al. 2017
208-1265B-24-2,70	215.900	247.34	Ties To	208-1263A-26-2,82	224.92	261.77	261.77	Westerhold et al. 2017
208-1265B-24-2,100	216.200	247.64	Ties To	208-1263A-26-2,132	225.42	262.27	262.27	Westerhold et al. 2017
208-1265B-24-2,127	216.470	247.91	Ties To	208-1263A-26-3,45	226.05	262.90	262.90	Westerhold et al. 2017
208-1265B-24-3,13	216.830	248.26	Ties To	208-1263A-26-3,107	226.67	263.52	263.52	Westerhold et al. 2017
208-1265B-24-3,43	217.130	248.57	Ties To	208-1263B-22-2,23	225.63	263.95	263.95	Westerhold et al. 2017
208-1265B-24-3,93	217.630	249.07	Ties To	208-1263B-22-2,78	226.18	264.51	264.51	Westerhold et al. 2017
208-1265B-24-3,132	218.020	249.46	Ties To	208-1263B-22-2,130	226.70	265.03	265.03	Westerhold et al. 2017
208-1265B-24-4,105	219.250	250.69	Ties To	208-1263B-22-3,125	228.15	266.48	266.48	Westerhold et al. 2017
208-1265B-24-5,30	220.000	251.44	Ties To	208-1263B-22-4,40	228.80	267.13	267.13	Westerhold et al. 2017
208-1265B-24-5,100	220.700	252.14	Ties To	208-1263B-22-4,120	229.60	267.93	267.93	Westerhold et al. 2017
208-1265B-24-6,24	221.440	252.88	Ties To	208-1263B-22-5,66	230.56	268.89	268.89	Westerhold et al. 2017
208-1265B-24-6,34	221.540	252.98	Ties To	208-1263B-22-5,84	230.74	269.07	269.07	Westerhold et al. 2017
208-1265B-24-6,50	221.700	253.14	Ties To	208-1263B-22-5,105	230.95	269.28	269.28	Westerhold et al. 2017
208-1265A-24-2,35	220.350	253.31	Ties To	208-1263B-22-5,133	231.23	269.55	269.55	Westerhold et al. 2017
208-1265A-24-2,88	220.880	253.84	Ties To	208-1263B-22-6,45	231.85	270.18	270.18	Westerhold et al. 2017
208-1265A-24-2,120	221.200	254.16	Ties To	208-1263B-22-6,143	232.83	271.15	271.15	Westerhold et al. 2017
208-1265A-24-3,6	221.560	254.52	Ties To	208-1263B-22-7,58	233.48	271.81	271.81	Westerhold et al. 2017
208-1265A-24-3,27	221.770	254.74	Ties To	208-1263A-27-1,6	232.16	272.19	272.19	Westerhold et al. 2017
208-1265A-24-3,63	222.130	255.09	Ties To	208-1263A-27-1,50	232.60	272.63	272.63	Westerhold et al. 2017
208-1265A-24-3,105	222.550	255.51	Ties To	208-1263A-27-1,107	233.17	273.20	273.20	Westerhold et al. 2017
208-1265A-24-4,8	223.080	256.04	Ties To	208-1263A-27-2,16	233.76	273.79	273.79	Westerhold et al. 2017
208-1265A-24-4,42	223.420	256.38	Ties To	208-1263A-27-2,49	234.09	274.12	274.12	Westerhold et al. 2017
208-1265A-24-4,97	223.970	256.93	Ties To	208-1263A-27-2,105	234.65	274.68	274.68	Westerhold et al. 2017
208-1265A-24-4,140	224.400	257.36	Ties To	208-1263A-27-2,146	235.06	275.09	275.09	Westerhold et al. 2017
208-1265A-24-5,4	224.540	257.50	Ties To	208-1263A-27-3,15	235.25	275.28	275.28	Westerhold et al. 2017
208-1265A-24-5,26	224.760	257.72	Ties To	208-1263A-27-3,44	235.54	275.57	275.57	Westerhold et al. 2017
208-1265B-25-2,18	224.720	258.17	Ties To	208-1263A-27-3,105	236.15	276.18	276.18	Westerhold et al. 2017
208-1265B-25-2,36	224.900	258.35	Ties To	208-1263A-27-3,134	236.44	276.47	276.47	Westerhold et al. 2017
208-1265B-25-2,94	225.480	258.93	Ties To	208-1263A-27-4,52	237.12	277.15	277.15	Westerhold et al. 2017
208-1265B-25-2,140	225.940	259.39	Ties To	208-1263A-27-4,107	237.67	277.70	277.70	Westerhold et al. 2017
208-1265B-25-3,133	227.370	260.82	Ties To	208-1263A-27-5,125	239.35	279.38	279.38	Westerhold et al. 2017
208-1265B-25-4,78	228.320	261.77	Ties To	208-1263C-9-4,114	240.54	280.33	280.33	Westerhold et al. 2017
208-1265B-25-4,125	228.790	262.24	Ties To	208-1263C-9-5,20	241.10	280.89	280.89	Westerhold et al. 2017
208-1265B-25-5,53	229.570	263.02	Ties To	208-1263C-9-5,102	241.92	281.71	281.71	Westerhold et al. 2017
208-1265B-25-5,122	230.260	263.71	Ties To	208-1263C-9-6,16	242.56	282.35	282.35	Westerhold et al. 2017
208-1265B-25-6,28	230.820	264.27	Ties To	208-1263C-9-6,75	243.15	282.94	282.94	Westerhold et al. 2017
208-1265B-25-6,60	231.140	264.59	Ties To	208-1263C-9-6,108	243.48	283.27	283.27	Westerhold et al. 2017
208-1265B-25-7,28	231.820	265.27	Ties To	208-1263C-9-7,33	244.23	284.02	284.02	Westerhold et al. 2017
208-1265B-25-7,45	231.990	265.44	Ties To	208-1263C-9-7,50	244.40	284.19	284.19	Westerhold et al. 2017
208-1265B-25-7,55	232.090	265.54	Ties To	208-1263C-9-7,60	244.50	284.29	284.29	Westerhold et al. 2017
208-1265A-25-4,36	232.860	267.05	Ties To	208-1263A-28-1,70	242.30	284.82	284.82	Westerhold et al. 2017
208-1265A-25-4,80	233.300	267.49	Ties To	208-1263A-28-1,118	242.78	285.30	285.30	Westerhold et al. 2017
208-1265A-25-4,142	233.920	268.11	Ties To	208-1263A-28-2,30	243.40	285.92	285.92	Westerhold et al. 2017
