/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S19. Characteristic remanent magnetization for discrete samples from ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917533, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 58.520 m * MAXIMUM DEPTH, sediment/rock: 134.780 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Half (Half) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Declination [deg] (Decl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Inclination [deg] (Incl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Maximum angular deviation [deg] (MAD) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Laboratory (Lab) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	3735 data points
*/
Sample label	Half	Depth sed [m]	Depth comp r [rmcd]	Decl [deg]	Incl [deg]	MAD [deg]	Lab
208-1263A-9H-3,33	A	72.120	82.266000	6.17	12.72	1.54	INGV
208-1263A-9H-3,53	A	72.320	82.475000	339.12	14.54	1.65	INGV
208-1263A-9H-3,73	A	72.520	82.675000	359.43	9.55	1.22	INGV
208-1263A-9H-3,90	A	72.690	82.826000	330.37	5.85	1.29	INGV
208-1263A-9H-3,113	A	72.920	83.066000	347.05	10.02	2.15	INGV
208-1263A-9H-3,133	W	73.120	83.275000	358.61	21.52	2.58	INGV
208-1263A-9H-4,55.5	A	73.845	83.978000	312.06	52.28	3.48	INGV
208-1263A-9H-4,104	A	74.330	84.485000	62.15	45.08	3.35	INGV
208-1263A-9H-4,143	A	74.720	84.857000	326.43	54.22	2.05	INGV
208-1263A-9H-4,6	W	73.350	83.515000	1.93	30.57	3.18	INGV
208-1263A-9H-4,23	A	73.520	83.693000	359.22	23.10	2.21	INGV
208-1263A-9H-4,43	A	73.720	83.866000	349.56	9.11	1.40	INGV
208-1263A-9H-4,61	A	73.900	84.036000	354.42	29.27	2.40	INGV
208-1263A-9H-4,83	A	74.120	84.266000	357.94	19.37	4.10	INGV
208-1263A-9H-4,121	W	74.500	84.662000	346.31	15.53	4.03	INGV
208-1263A-9H-4,143	A	74.720	84.857000	352.00	34.51	2.50	INGV
208-1263A-9H-5,48	A	75.270	85.413000				INGV
208-1263A-9H-5,98	A	75.770	85.935000				INGV
208-1263A-9H-5,13	W	74.920	85.047000	347.73	3.08	1.20	INGV
208-1263A-9H-5,31	A	75.100	85.235000	355.03	19.97	2.00	INGV
208-1263A-9H-5,53	A	75.320	85.465000	354.25	27.22	1.53	INGV
208-1263A-9H-5,73	A	75.520	85.674000	2.59	17.10	1.79	INGV
208-1263A-9H-5,91	W	75.700	85.862000	357.34	25.38	4.01	INGV
208-1263A-9H-5,113	A	75.920	86.065000	335.44	11.43	1.35	INGV
208-1263A-9H-5,133	A	76.120	86.232000	357.48	17.27	1.22	INGV
208-1263A-9H-6,16	A	76.450	86.573000				INGV
208-1263A-9H-6,58	W	76.870	87.012000				INGV
208-1263A-9H-6,96	A	77.250	87.397000				INGV
208-1263A-9H-6,3	A	76.320	86.438000	354.17	6.34	0.81	INGV
208-1263A-9H-6,23	W	76.520	86.647000	4.83	-13.55	1.16	INGV
208-1263A-9H-6,43	A	76.720	86.855000	356.76	-6.03	1.21	INGV
208-1263A-9H-6,63	A	76.920	87.064000	353.95	-20.29	2.16	INGV
208-1263A-9H-6,83	A	77.120	87.273000	352.09	-8.22	2.27	INGV
208-1263A-9H-7,3	W	77.320	87.455000	187.53	-1.78	1.06	INGV
208-1263A-9H-7,25	W	77.540	87.675000	359.01	-44.56	1.84	INGV
208-1263A-9H-7,43	W	77.720	87.879000	0.27	-13.40	2.50	INGV
208-1263A-9H-7,59	W	77.880	88.069000	354.35	61.53	0.99	INGV
208-1263A-10H-3,137	A	82.660	92.933000	7.43	6.26	0.74	INGV
208-1263A-10H-4,28	A	83.070	93.361000				INGV
208-1263A-10H-4,83.5	A	83.625	93.928000				INGV
208-1263A-10H-4,135.5	W	84.145	94.448000				INGV
208-1263A-10H-4,7	A	82.860	93.141000	354.09	-6.89	0.62	INGV
208-1263A-10H-4,27	A	83.060	93.351000	353.53	4.39	0.65	INGV
208-1263A-10H-4,45	W	83.240	93.539000	352.84	1.05	0.69	INGV
208-1263A-10H-4,67	A	83.460	93.768000	344.77	-2.07	0.61	INGV
208-1263A-10H-4,87	A	83.660	93.957000	350.39	3.34	0.54	INGV
208-1263A-10H-4,105	A	83.840	94.129000	354.03	-7.31	0.78	INGV
208-1263A-10H-4,127	W	84.060	94.359000	348.79	11.79	0.70	INGV
208-1263A-10H-4,147	A	84.260	94.568000	2.92	10.60	0.73	INGV
208-1263A-10H-5,39	A	84.680	94.969000	350.18	-3.73	0.81	INGV
208-1263A-10H-5,83.5	A	85.125	95.418000	355.84	6.72	3.26	INGV
208-1263A-10H-5,134	W	85.630	95.945000	3.98	27.89	2.87	INGV
208-1263A-10H-5,15	A	84.440	94.756000	349.41	7.17	1.57	INGV
208-1263A-10H-5,37	A	84.660	94.952000	347.09	-2.23	0.59	INGV
208-1263A-10H-5,57	W	84.860	95.141000	350.03	4.06	0.79	INGV
208-1263A-10H-5,76	A	85.050	95.339000	353.64	11.17	1.29	INGV
208-1263A-10H-5,97	A	85.260	95.559000	356.28	5.63	0.76	INGV
208-1263A-10H-5,117	W	85.460	95.768000	357.74	8.28	0.67	INGV
208-1263A-10H-5,136	A	85.650	95.966000	359.74	5.25	0.74	INGV
208-1263A-10H-6,27	A	86.060	96.340000	1.75	2.60	3.54	INGV
208-1263A-10H-6,75	A	86.540	96.842000	352.94	24.81	1.67	INGV
208-1263A-10H-6,124	W	87.030	97.354000	351.05	29.85	5.39	INGV
208-1263A-10H-6,7	A	85.860	96.164000	348.94	6.82	0.67	INGV
208-1263A-10H-6,26	A	86.050	96.330000	356.02	11.62	1.42	INGV
208-1263A-10H-6,47	W	86.260	96.549000	356.29	4.52	1.94	INGV
208-1263A-10H-6,67	A	86.460	96.758000	357.00	14.39	1.70	INGV
208-1263A-10H-6,86	A	86.650	96.957000	3.11	20.06	3.50	INGV
208-1263A-10H-6,107	W	86.860	97.176000	3.10	11.92	2.10	INGV
208-1263A-10H-6,127	A	87.060	97.385000	2.55	30.45	3.54	INGV
208-1263A-10H-6,146	A	87.250	97.575000	0.79	19.63	2.24	INGV
208-1263A-10H-7,26	A	87.550	97.843000	9.49	29.12	4.42	INGV
208-1263A-10H-7,17	W	87.460	97.750000	347.33	19.00	3.53	INGV
208-1263A-10H-7,37	A	87.660	97.958000	348.82	18.29	3.50	INGV
208-1263A-10H-7,57	A	87.860	98.167000	6.58	20.55	0.82	INGV
208-1263A-14H-2,27	W	118.060	139.099000	27.92	-12.62	4.86	INGV
208-1263A-14H-2,47	W	118.260	139.280000	21.77	-21.66	1.34	INGV
208-1263A-14H-2,67	W	118.460	139.487000	5.04	-23.55	1.08	INGV
208-1263A-14H-2,87	W	118.660	139.697000	10.84	-47.90	1.90	INGV
208-1263A-14H-2,107	W	118.860	139.905000	29.99	-28.18	2.67	INGV
208-1263A-14H-2,125	W	119.040	140.093000	60.24	-42.91	1.92	INGV
208-1263A-14H-2,147	W	119.260	140.288000	192.37	-0.12	1.53	INGV
208-1263A-14H-3,17	A	119.460	140.496000	355.93	-4.87	1.58	INGV
208-1263A-14H-3,37	A	119.660	140.705000	359.53	-11.22	3.13	INGV
208-1263A-14H-3,57	A	119.860	140.913000	353.51	-6.21	1.81	INGV
208-1263A-14H-3,77	A	120.060	141.116000	344.76	-14.34	4.39	INGV
208-1263A-14H-3,97	A	120.260	141.295000	342.89	-3.08	2.76	INGV
208-1263A-14H-4,5	A	120.460	141.505000	349.32	-8.79	0.75	INGV
208-1263A-14H-4,25	A	120.660	141.696000	349.22	3.73	0.99	INGV
208-1263A-14H-4,43	A	120.840	141.884000	344.88	4.38	0.73	INGV
208-1263A-14H-5,18	A	121.060	142.114000	351.55	-1.23	0.99	INGV
208-1263A-14H-5,38	A	121.260	142.318000	353.29	-9.93	3.24	INGV
208-1263A-14H-5,58	A	121.460	142.485000	348.46	5.25	0.86	INGV
208-1263A-14H-5,78	A	121.660	142.685000	352.15	22.79	0.72	INGV
208-1263A-14H-5,98	A	121.860	142.895000	342.70	19.43	1.06	INGV
208-1263A-14H-5,118	A	122.060	143.104000	348.27	11.02	1.01	INGV
208-1263A-14H-5,138	A	122.260	143.313000	1.07	12.53	1.34	INGV
208-1263A-14H-6,28	W	122.660	143.695000	164.20	73.50	1.50	INGV
208-1263A-15H-4,50	W	130.790	154.531000	169.10	35.80	2.00	INGV
208-1263A-15H-5,47	W	132.260	155.994000	169.00	57.10	1.90	INGV
208-1263A-15H-5,49	W	132.280	156.011000	129.00	79.30	3.40	INGV
208-1263A-15H-6,49	W	133.780	157.888000	125.40	69.00	3.20	INGV
208-1263A-15H-7,27	W	134.760	158.691000	153.00	44.70	1.00	INGV
208-1263A-15H-7,29	W	134.780	158.710000	158.60	72.00	1.50	INGV
208-1263B-2H-3,3	A	58.520	67.031000	358.19	6.70	0.79	INGV
208-1263B-2H-3,23	A	58.720	67.234000	358.75	6.01	0.73	INGV
208-1263B-2H-3,43	A	58.920	67.437000	358.66	-6.01	0.80	INGV
208-1263B-2H-3,63	A	59.120	67.640000	6.71	-11.51	0.86	INGV
208-1263B-2H-3,83	A	59.320	67.832000	9.19	-1.24	1.70	INGV
208-1263B-2H-3,103	A	59.520	68.015000	6.33	2.30	0.73	INGV
208-1263B-2H-3,123	A	59.720	68.218000	6.80	2.92	0.98	INGV
208-1263B-2H-3,143	A	59.920	68.420000	3.87	7.00	1.09	INGV
208-1263B-2H-4,13	A	60.120	68.623000	2.12	9.26	1.29	INGV
208-1263B-2H-4,33	A	60.320	68.826000	354.53	8.17	1.82	INGV
208-1263B-2H-4,53	A	60.520	69.029000	9.30	-6.09	0.88	INGV
208-1263B-2H-4,73	A	60.720	69.232000	188.09	0.54	1.62	INGV
208-1263B-2H-4,93	A	60.920	69.434000	2.24	6.12	1.83	INGV
208-1263B-2H-4,113	A	61.120	69.637000	351.79	3.83	2.27	INGV
208-1263B-2H-4,133	A	61.320	69.840000	4.17	9.68	1.71	INGV
208-1263B-2H-5,3	A	61.520	70.043000	3.09	10.46	2.14	INGV
208-1263B-2H-5,23	A	61.720	70.246000	2.76	24.81	1.49	INGV
208-1263B-2H-5,43	A	61.920	70.435000	359.44	16.68	2.87	INGV
208-1263B-2H-5,63	A	62.120	70.592000	6.89	9.77	2.24	INGV
208-1263B-2H-5,83	A	62.320	70.732000	3.17	34.98	2.37	INGV
208-1263B-3H-2,41	A	66.900	76.851000	347.99	73.74	1.28	INGV
208-1263B-3H-2,61	A	67.100	77.054000	7.90	58.04	5.73	INGV
208-1263B-3H-2,81	A	67.300	77.257000	355.94	49.23	1.34	INGV
208-1263B-3H-2,101	A	67.500	77.460000	335.44	57.06	2.18	INGV
208-1263B-3H-2,121	A	67.700	77.662000	289.11	57.27	1.02	INGV
208-1263B-3H-2,141	A	67.900	77.865000	292.47	70.22	3.66	INGV
208-1263B-3H-3,11	A	68.100	78.068000	28.17	52.19	2.56	INGV
208-1263B-3H-3,31	A	68.300	78.255000	0.85	38.93	1.46	INGV
208-1263B-3H-3,51	A	68.500	78.447000	6.04	9.63	1.52	INGV
208-1263B-3H-3,71	A	68.700	78.650000	0.52	25.71	1.63	INGV
208-1263B-3H-3,91	A	68.900	78.853000	356.01	6.71	1.71	INGV
208-1263B-3H-3,111	A	69.100	79.055000	0.72	5.00	1.38	INGV
208-1263B-3H-3,131	A	69.300	79.258000	359.01	23.04	1.58	INGV
208-1263B-3H-4,2	A	69.510	79.471000	1.70	12.65	1.64	INGV
208-1263B-3H-4,4.5	W	69.535	79.497000	174.43	1.76	3.18	INGV
208-1263B-3H-4,21	A	69.700	79.664000	1.48	13.99	1.80	INGV
208-1263B-3H-4,41	A	69.900	79.867000	355.69	8.10	1.70	INGV
208-1263B-3H-4,48.5	W	69.975	79.943000	0.56	7.85	1.31	INGV
208-1263B-3H-4,61	A	70.100	80.069000	6.39	-4.66	3.01	INGV
208-1263B-3H-4,81	A	70.300	80.251000	10.29	-12.17	1.11	INGV
208-1263B-3H-4,97	W	70.460	80.412000	3.69	11.18	2.03	INGV
208-1263B-3H-4,101	A	70.500	80.452000	5.82	8.39	3.34	INGV
208-1263B-3H-4,121	A	70.700	80.655000	4.00	7.34	0.89	INGV
208-1263B-3H-4,141	A	70.900	80.858000	8.70	32.61	1.53	INGV
208-1263B-3H-4,143	W	70.920	80.878000	319.06	45.73	2.57	INGV
208-1263B-3H-5,11	A	71.100	81.061000	356.61	27.67	1.28	INGV
208-1263B-3H-5,31	A	71.300	81.263000	352.41	37.55	1.71	INGV
208-1263B-3H-5,51	A	71.500	81.464000	2.50	25.21	3.01	INGV
208-1263B-3H-5,54	W	71.530	81.492000	334.82	52.48	3.00	INGV
208-1263B-3H-5,71	A	71.700	81.641000	356.16	22.70	6.44	INGV
208-1263B-3H-5,91	A	71.900	81.790000	347.07	44.01	3.30	INGV
208-1263B-3H-5,111	A	72.100	81.947000	353.86	26.99	1.85	INGV
208-1263B-3H-5,131	A	72.300	82.119000	358.05	37.28	2.50	INGV
208-1263B-3H-6,2	W	72.510	82.371000	34.60	67.56	3.38	INGV
208-1263B-3H-6,21	W	72.700	82.599000	358.60	67.23	3.56	INGV
208-1263B-3H-6,41	W	72.900	82.825000	83.44	84.33	2.20	INGV
208-1263B-3H-6,63	W	73.120	83.013000	347.76	83.98	2.54	INGV
208-1263B-3H-6,81	W	73.300	83.143000	21.35	59.35	1.87	INGV
208-1263B-3H-6,101	W	73.500	83.316000	325.60	54.52	0.90	INGV
208-1263B-3H-6,119	W	73.680	83.478000	321.58	65.51	2.37	INGV
208-1263B-3H-7,19	W	73.880	83.658000	273.62	68.38	1.97	INGV
208-1263B-3H-7,41	W	74.100	83.869000	275.83	56.84	2.54	INGV
208-1263B-3H-7,61	W	74.300	84.083000	320.81	40.27	5.45	INGV
208-1263B-4H-1,12	W	74.610	84.948000	288.80	54.00	2.10	INGV
208-1263B-4H-1,32	W	74.810	85.188000	315.52	58.96	1.69	INGV
208-1263B-4H-1,52	W	75.010	85.477000	355.38	35.64	2.45	INGV
208-1263B-4H-1,72	W	75.210	85.798000	357.55	41.99	1.41	INGV
208-1263B-4H-1,92	W	75.410	86.113000	9.10	42.70	1.05	INGV
208-1263B-4H-1,112	W	75.610	86.389000	9.34	45.51	0.95	INGV
208-1263B-4H-1,132	W	75.810	86.602000	15.02	15.65	0.73	INGV
208-1263B-4H-2,2	A	76.010	86.780000	7.42	-9.73	1.48	INGV
208-1263B-4H-2,22	A	76.210	87.002000	8.03	-3.29	2.29	INGV
208-1263B-4H-2,42	A	76.410	87.240000	23.84	-22.29	2.85	INGV
208-1263B-4H-2,62	A	76.610	87.504000	26.56	-32.64	2.71	INGV
208-1263B-4H-2,82	A	76.810	87.728000	40.68	-46.77	3.95	INGV
208-1263B-4H-2,102	A	77.010	87.941000	17.25	-19.87	3.59	INGV
208-1263B-4H-2,122	A	77.210	88.147000	36.23	-28.38	2.21	INGV
208-1263B-4H-2,141	A	77.400	88.339000	21.70	-15.52	2.37	INGV
208-1263B-4H-3,7	W	77.560	88.502000	342.02	-29.14	1.71	INGV
208-1263B-4H-3,12	A	77.610	88.552000	9.62	-12.03	1.60	INGV
208-1263B-4H-3,32	A	77.810	88.755000	18.04	-24.53	0.76	INGV
208-1263B-4H-3,48	W	77.970	88.917000	336.22	-32.32	1.13	INGV
208-1263B-4H-3,51	A	78.000	88.948000	4.29	-9.94	1.65	INGV
208-1263B-4H-3,72	A	78.210	89.161000	0.82	-2.57	0.59	INGV
208-1263B-4H-3,92	A	78.410	89.350000	192.50	-0.21	1.26	INGV
208-1263B-4H-3,96.5	W	78.455	89.391000	13.00	-32.59	17.18	INGV
208-1263B-4H-3,111	A	78.600	89.526000	11.95	-5.87	1.65	INGV
208-1263B-4H-3,132	A	78.810	89.739000	15.74	-2.43	1.34	INGV
208-1263B-4H-3,143	W	78.920	89.850000	347.76	-24.94	1.90	INGV
208-1263B-4H-4,2	A	79.010	89.941000	354.37	-6.67	1.63	INGV
208-1263B-4H-4,21	A	79.200	90.134000	28.92	-43.90	1.31	INGV
208-1263B-4H-4,42	A	79.410	90.347000	25.21	-16.54	1.44	INGV
208-1263B-4H-4,49	W	79.480	90.418000	356.70	-29.85	1.21	INGV
208-1263B-4H-4,62	A	79.610	90.550000	12.07	-9.78	1.06	INGV
208-1263B-4H-4,81	A	79.800	90.743000	6.89	-18.05	1.21	INGV
208-1263B-4H-4,97	W	79.960	90.905000	3.25	-23.67	2.35	INGV
208-1263B-4H-4,102	A	80.010	90.956000	15.88	-16.75	1.27	INGV
208-1263B-4H-4,122	A	80.210	91.158000	9.64	-6.43	1.48	INGV
208-1263B-4H-4,141	A	80.400	91.351000	9.47	-9.15	1.61	INGV
208-1263B-4H-5,8	W	80.570	91.522000	1.59	-29.76	1.99	INGV
208-1263B-4H-5,12	A	80.610	91.558000	7.24	-34.06	2.54	INGV
208-1263B-4H-5,32	A	80.810	91.740000	10.28	-20.85	1.54	INGV
208-1263B-4H-5,48	W	80.970	91.902000	2.19	-19.22	1.16	INGV
208-1263B-4H-5,51	A	81.000	91.933000	7.59	-21.34	1.16	INGV
208-1263B-4H-5,72	A	81.210	92.146000	0.99	-17.71	2.18	INGV
208-1263B-4H-5,92	A	81.410	92.348000	10.03	-25.59	2.06	INGV
208-1263B-4H-5,99	W	81.480	92.419000	1.69	-27.00	1.44	INGV
208-1263B-4H-5,112	A	81.610	92.551000	14.42	-9.36	0.93	INGV
208-1263B-4H-5,132	A	81.810	92.754000	11.38	-0.28	1.77	INGV
208-1263B-4H-5,144	W	81.930	92.876000	7.74	16.26	2.68	INGV
208-1263B-4H-6,2	W	82.010	92.957000	19.10	-36.08	4.18	INGV
