/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S23. Cenozoic Geomagnetic Polarity Time Scale. PANGAEA, https://doi.org/10.1594/PANGAEA.917569, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Parameter(s):	Chronozone (Chronozone) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Age model [ka] (Age model) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: CK95
	Age model [ka] (Age model) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: GPTS2004
	Age model [ka] (Age model) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: GPTS2012
	Age model [ka] (Age model) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: Age this study
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Age model [ka] (Age model) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: D GPTS2012 - this study
	Cruise/expedition (Expedition) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1338 data points
*/
Chronozone	Age model [ka] (CK95)	Age model [ka] (GPTS2004)	Age model [ka] (GPTS2012)	Age model [ka] (Age this study)	Reference	Age model [ka] (D GPTS2012 - this study)	Expedition
C10n.2n (y)	28578	28525	28141	28157	this study	-16	Leg199, Exp320/321
C10n.2n (o)	28745	28715	28278	28263	this study	15	Leg199, Exp320/321
C11n.1n (y)	29401	29451	29183	29149	this study	34	Leg199, Exp320/321
C11n.1n (o)	29662	29740	29477	29581	this study	-104	Leg199, Exp320/321
C11n.2n (y)	29765	29853	29527	29642	this study	-115	Leg199, Exp320/321
C11n.2n (o)	30098	30217	29970	29990	this study	-20	Leg199, Exp320/321
C12n (y)	30479	30627	30591	30755	this study	-164	Leg199, Exp320/321
C12n (o)	30939	31116	31034	30977	this study	57	Leg199, Exp320/321
C13n (y)	33058	33266	33157	33214	this study	-57	Leg199, Exp320/321
C13n (o)	33545	33738	33705	33726	this study	-21	Leg199, Exp320/321
C15n (y)	34655	34782	34999	35102	this study	-103	Leg199, Exp320/321
C15n (o)	34940	35043	35294	35336	this study	-42	Leg199, Exp320/321
C16n.1n (y)	35343	35404	35706	35580	this study	126	Leg199, Exp320/321
C16n.1n (o)	35526	35567	35892	35718	this study	174	Leg199, Exp320/321
C16n.2n (y)	35685	35707	36051	35774	this study	277	Leg199, Exp320/321
C16n.2n (o)	36341	36276	36700	36351	this study	349	Leg199, Exp320/321
C17n.1n (y)	36618	36512	36969	36573	this study	396	Leg199, Exp320/321
C17n.1n (o)	37473	37235	37753	37385	this study	368	Leg199, Exp320/321
C17n.2n (y)	37604	37345	37872	37530	this study	342	Leg199, Exp320/321
C17n.2n (o)	37848	37549	38093	37781	this study	312	Leg199, Exp320/321
C17n.3n (y)	37920	37610	38159	37858	this study	301	Leg199, Exp320/321
C17n.3n (o)	38113	37771	38333	38081	this study	252	Leg199, Exp320/321
C18n.1n (y)	38426	38032	38615	38423	this study	192	Leg 208
C18n.1n (o)	39552	38975	39627	39825	this study	-198	Leg 208
C18n.2n (y)	39631	39041	39698	39941	this study	-243	Leg 208
C18n.2n (o)	40130	39464	40145	40276	this study	-131	Leg 208
C19n (y)	41257	40439	41154	41062	this study	92	Leg 208
C19n (o)	41521	40671	41390	41262	this study	128	Leg 208
C20n (y)	42536	41590	42301	42196	this study	105	Leg 208
C20n (o)	43789	42774	43432	43508	this study	-76	Leg 208
C21n (y)	46264	45346	45724	46235	this study	-511	Leg 208
C21n (o)	47906	47235	47349	47857	this study	-508	Leg 208
C22n (y)	49037	48599	48566	49173	this study	-607	Leg 208
C22n (o)	49714	49427	49344	49713	this study	-369	Leg 208
C23n.1n (y)	50778	50730	50628	50776	this study	-148	Leg 208
C23n.1n (o)	50946	50932	50835	50942	this study	-107	Leg 208
C23n.2n (y)	51047	51057	50961	51025	this study	-64	Leg 208
C23n.2n (o)	51743	51901	51833	51737	this study	96	Leg 208
C24n.1n (y)	52364	52648	52620	52628	this study	-8	Leg 208
C24n.1n (o)	52663	53004	53074	52939	this study	135	Leg 208
C24n.2n (y)	52757	53116	53199	53088	this study	111	Leg 208
C24n.2n (o)	52801	53167	53274	53123	this study	151	Leg 208
C24n.3n (y)	52903	53286	53416	53403	this study	13	Leg 208
C24n.3n (o)	53347	53808	53983	53899	this study	84	Leg 208
C25n (y)	55904	56665	57101	57073	this study	28	Leg 208
C25n (o)	56391	57180	57656	57598	this study	58	Leg 208
C26n (y)	57554	58379	58959	58865	this study	94	Leg 208
C26n (o)	57911	58737	59237	59197	this study	40	Leg 208
C27n (y)	60920	61650	62221	62126	this study	95	Leg 208
C27n (o)	61276	61983	62517	62448	this study	69	Leg 208
C28n (y)	62499	63104	63494	63558	this study	-64	Leg 208
C28n (o)	63634	64128	64667	64608	this study	59	Leg 208
C29n (y)	63976	64432	64958	64871	this study	87	Leg 208
C29n (o)	64745	65118	65688	65653	this study	35	Leg 208
C30n (y)	65578	65861	66398	66393	this study	5	Leg 208
