/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S14. Mapping pairs for ODP Site 208-1263 to correlate intervals outside the splice to the splice. PANGAEA, https://doi.org/10.1594/PANGAEA.917520, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM ELEVATION: -2717.1 m * MAXIMUM ELEVATION: -2717.1 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Comment:	W2015 = Westerhold et al. 2015, W2017 = Westerhold et al. 2017.
	printed version: bold indicate change with respect to Westerhold et al. 2015, 2017.
	#-999.99 =no adjustment
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: outside splice
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: of splice
	Identification (ID) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: outside splice
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: of splice
	Identification (ID) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: outside splice
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: of splice
	Identification (ID) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	3510 data points
*/
Sample label	Depth comp [mcd] (outside splice)	Depth comp [mcd] (of splice)	ID	Reference	Sample label	Depth comp [mcd] (outside splice)	Depth comp [mcd] (of splice)	ID	Reference	Sample label	Depth comp [mcd] (outside splice)	Depth comp [mcd] (of splice)	ID	Reference
1263A-10H	91.37	91.23	corr	W2015	1263B-5H	98.20	98.16	corr	W2015	1263C-4H	225.42	225.42	corr	uncertain
1263A-10H	91.68	91.54	corr	W2015	1263B-5H	98.53	98.53	splice	W2015	1263C-4H	227.65	227.38	corr	uncertain
1263A-10H	92.40	92.23	corr	W2015	1263B-5H	106.47	106.47	splice	W2015	1263C-4H	228.68	228.58	corr	uncertain
1263A-10H	93.39	93.39	splice	W2015	1263B-5H	106.71	106.78	corr	W2015	1263C-4H	234.23	234.15	corr	uncertain
1263A-10H	98.53	98.53	splice	W2015	1263B-5H	107.00	107.15	corr	W2015					
1263A-10H	99.02	99.02	corr	W2017	1263B-5H	107.25	107.33	corr	W2017	1263C-5H	235.50	234.95	corr	W2017
										1263C-5H	235.62	234.99	corr	W2015
1263A-11H	99.97	100.16	corr	W2017	1263B-6H	108.27	108.54	corr	W2017	1263C-5H	235.80	235.26	corr	W2015
1263A-11H	100.09	100.28	corr	W2015	1263B-6H	108.54	108.79	corr	W2015	1263C-5H	236.25	235.86	corr	W2015
1263A-11H	101.07	101.18	corr	W2015	1263B-6H	109.87	109.87	splice	W2015	1263C-5H	237.04	236.84	corr	W2017
1263A-11H	101.32	101.44	corr	W2015	1263B-6H	117.05	117.05	splice	W2015	1263C-5H	237.79	237.45	corr	W2017
1263A-11H	101.57	101.69	corr	W2015	1263B-6H	117.40	117.41	corr	W2015	1263C-5H	238.41	237.83	corr	W2017
1263A-11H	102.15	102.33	corr	W2015	1263B-6H	117.75	117.65	corr	W2015	1263C-5H	239.41	238.63	corr	W2015
1263A-11H	102.59	102.84	corr	W2015	1263B-6H	117.89	117.83	corr	W2017	1263C-5H	239.67	238.98	corr	W2017
1263A-11H	102.80	103.13	corr	W2015										
1263A-11H	103.64	104.03	corr	W2015	1263B-7H	123.32	123.33	corr	W2017	1263C-6H	245.83	244.57	corr	W2017
1263A-11H	104.56	104.89	corr	W2015	1263B-7H	125.54	125.54	corr	uncertain	1263C-6H	246.05	244.79	corr	W2017
1263A-11H	105.05	105.35	corr	W2015	1263B-7H	132.08	132.08	corr	uncertain	1263C-6H	246.43	245.22	corr	W2015
1263A-11H	106.11	106.45	corr	W2015	1263B-7H	133.06	133.08	corr	W2017	1263C-6H	246.93	245.74	corr	W2017
1263A-11H	106.70	106.97	corr	W2015						1263C-6H	247.16	245.93	corr	W2017
1263A-11H	107.30	107.62	corr	W2015	1263B-8H	134.07	133.92	corr	W2015	1263C-6H	247.67	246.50	corr	W2017
1263A-11H	108.32	108.45	corr	W2015	1263B-8H	134.38	134.28	corr	W2015	1263C-6H	248.13	246.98	corr	W2015
1263A-11H	108.56	108.67	corr	W2015	1263B-8H	134.84	134.75	corr	W2015	1263C-6H	249.05	248.12	corr	W2017
1263A-11H	108.84	108.94	corr	W2017	1263B-8H	135.19	135.18	corr	W2015	1263C-6H	249.48	248.60	corr	W2015
					1263B-8H	135.47	135.47	splice	W2015	1263C-6H	249.96	249.15	corr	W2015
1263A-12H	110.03	110.38	corr	W2017	1263B-8H	139.13	139.13	splice	W2015	1263C-6H	250.60	249.88	corr	W2015
1263A-12H	110.29	110.66	corr	W2015	1263B-8H	139.70	139.77	corr	W2015	1263C-6H	251.14	250.44	corr	W2015
1263A-12H	111.09	111.36	corr	W2015	1263B-8H	140.07	140.19	corr	W2015	1263C-6H	252.20	251.48	corr	W2015
1263A-12H	111.95	112.18	corr	W2015	1263B-8H	140.62	140.74	corr	W2015	1263C-6H	253.12	252.67	corr	W2015
1263A-12H	114.03	113.72	corr	W2015	1263B-8H	141.24	141.36	corr	W2015	1263C-6H	253.83	253.48	corr	W2015
1263A-12H	116.31	115.45	corr	W2015	1263B-8H	141.84	141.88	corr	W2015	1263C-6H	254.28	254.00	corr	W2015
1263A-12H	116.69	116.23	corr	W2017	1263B-8H	142.49	142.38	corr	W2015	1263C-6H	254.98	254.99	corr	W2015
1263A-12H	116.85	116.40	corr	W2017	1263B-8H	142.85	142.76	corr	W2015	1263C-6H	255.36	255.43	corr	W2015
					1263B-8H	143.49	143.49	corr	W2015	1263C-6H	255.49	255.58	corr	W2017
1263A-14H	137.33	137.30	corr	W2017	1263B-8H	143.70	143.72	corr	W2015					
1263A-14H	137.39	137.46	corr	W2015	1263B-8H	143.87	144.11	corr	W2017	1263C-7H	255.78	255.78	corr	W2017, uncertain
1263A-14H	137.85	137.84	corr	W2015						1263C-7H	257.34	257.34	splice	W2015
1263A-14H	138.57	138.43	corr	W2015	1263B-9H	145.23	145.23	splice	W2015	1263C-7H	259.55	259.55	splice	W2015
1263A-14H	139.13	139.13	splice	W2015	1263B-9H	150.88	150.88	splice	W2015	1263C-7H	259.62	259.61	corr	W2017, uncertain
1263A-14H	144.93	144.93	splice	W2015	1263B-9H	151.39	151.49	corr	W2015					
1263A-14H	145.13	145.12	corr	W2017	1263B-9H	151.71	151.78	corr	W2015	1263C-8H	262.34	262.49	corr	W2017
					1263B-9H	152.10	152.17	corr	W2015	1263C-8H	262.45	262.60	corr	W2015
1263A-15H	149.53	149.03	corr	W2017	1263B-9H	153.01	153.04	corr	W2015	1263C-8H	262.56	262.88	corr	W2015
1263A-15H	150.05	149.56	corr	W2017	1263B-9H	153.53	153.52	corr	W2015	1263C-8H	262.74	263.07	corr	W2015
1263A-15H	150.27	149.79	corr	W2017	1263B-9H	153.91	153.86	corr	W2015	1263C-8H	263.44	263.81	corr	W2015
1263A-15H	150.78	150.76	corr	W2017	1263B-9H	154.29	154.23	corr	W2015	1263C-8H	264.13	264.51	corr	W2015
1263A-15H	150.88	150.88	splice	W2015	1263B-9H	154.60	154.57	corr	W2015	1263C-8H	265.38	265.72	corr	W2015
1263A-15H	155.94	155.94	splice	W2015	1263B-9H	154.93	154.90	corr	W2015	1263C-8H	266.55	266.78	corr	W2015
1263A-15H	156.40	156.43	corr	W2015	1263B-9H	155.00	154.95	corr	W2017	1263C-8H	267.46	267.59	corr	W2015
1263A-15H	156.82	156.94	corr	W2015						1263C-8H	267.99	268.10	corr	W2015
1263A-15H	157.40	157.59	corr	W2015	1263B-10H	155.54	155.49	corr	W2017	1263C-8H	268.53	268.56	corr	W2015
1263A-15H	158.14	158.25	corr	W2015	1263B-10H	155.94	155.94	splice	W2015	1263C-8H	269.31	269.26	corr	W2015
1263A-15H	158.50	158.49	corr	W2015	1263B-10H	161.85	161.85	splice	W2015	1263C-8H	270.13	270.17	corr	W2015
1263A-15H	158.73	158.83	corr	W2015	1263B-10H	162.02	162.06	corr	W2015	1263C-8H	271.01	271.05	corr	W2015
1263A-15H	159.03	159.03	corr	W2017	1263B-10H	162.37	162.42	corr	W2015	1263C-8H	271.70	271.80	corr	W2015
					1263B-10H	162.96	162.88	corr	W2015					
1263A-16H	160.43	160.43	corr	W2017	1263B-10H	163.74	163.55	corr	W2015	1263C-9H	274.69	274.39	corr	W2017
1263A-16H	160.81	160.80	corr	W2015	1263B-10H	164.52	164.28	corr	W2015	1263C-9H	274.97	274.68	corr	W2015
1263A-16H	161.18	161.25	corr	W2015	1263B-10H	164.78	164.52	corr	W2015	1263C-9H	275.41	275.09	corr	W2015
1263A-16H	161.55	161.67	corr	W2015	1263B-10H	164.98	164.70	corr	W2015	1263C-9H	275.91	275.55	corr	W2015
1263A-16H	161.85	161.85	splice	W2015	1263B-10H	165.08	164.81	corr	W2017	1263C-9H	276.54	276.17	corr	W2015
1263A-16H	168.11	168.11	splice	W2015						1263C-9H	278.07	277.85	corr	W2015
1263A-16H	169.05	168.98	corr	W2015	1263B-11H	166.03	166.08	corr	W2017	1263C-9H	279.28	279.27	corr	W2015
1263A-16H	169.41	169.26	corr	W2015	1263B-11H	166.17	166.23	corr	W2015	1263C-9H	280.18	280.18	splice	W2015
1263A-16H	169.68	169.51	corr	W2015	1263B-11H	166.73	166.81	corr	W2015	1263C-9H	284.34	284.34	splice	W2015
1263A-16H	170.06	169.87	corr	W2017	1263B-11H	167.23	167.26	corr	W2015	1263C-9H	284.65	284.64	corr	W2017
					1263B-11H	168.11	168.11	splice	W2015					
1263A-17H	171.14	170.97	corr	W2017	1263B-11H	174.29	174.29	splice	W2015	1263C-10H	286.28	285.86	corr	W2017
1263A-17H	171.30	171.15	corr	W2015	1263B-11H	174.60	174.62	corr	W2015	1263C-10H	286.44	286.05	corr	W2015
1263A-17H	171.77	171.66	corr	W2015	1263B-11H	175.37	175.27	corr	W2015	1263C-10H	286.94	286.65	corr	W2015
1263A-17H	172.33	172.21	corr	W2015	1263B-11H	175.58	175.47	corr	W2015	1263C-10H	287.57	287.30	corr	W2015
1263A-17H	172.94	172.90	corr	W2015	1263B-11H	175.84	175.74	corr	W2017	1263C-10H	288.08	287.77	corr	W2015
1263A-17H	173.21	173.19	corr	W2015						1263C-10H	292.01	291.56	corr	W2015
1263A-17H	173.75	173.76	corr	W2015	1263B-12H	176.70	176.70	corr	W2015	1263C-10H	292.69	292.69	corr	W2015
1263A-17H	174.29	174.29	splice	W2015	1263B-12H	176.97	176.97	corr	W2015	1263C-10H	292.89	292.89	splice	W2015
1263A-17H	178.80	178.80	splice	W2015	1263B-12H	177.49	177.46	corr	W2015	1263C-10H	296.00	296.00	splice	W2015
1263A-17H	179.03	179.17	corr	W2015	1263B-12H	177.89	177.83	corr	W2015	1263C-10H	296.28	296.29	corr	W2017
1263A-17H	179.42	179.58	corr	W2015	1263B-12H	178.36	178.36	corr	W2015					
1263A-17H	179.76	179.89	corr	W2015	1263B-12H	178.80	178.80	splice	W2015	1263C-11H	297.69	297.62	corr	W2017
1263A-17H	179.93	180.08	corr	W2015	1263B-12H	183.71	183.71	splice	W2015	1263C-11H	298.21	298.17	corr	W2015
1263A-17H	180.24	180.41	corr	W2015	1263B-12H	184.00	184.00	corr	W2015	1263C-11H	300.71	300.49	corr	W2015
1263A-17H	180.34	180.49	corr	W2017	1263B-12H	184.30	184.27	corr	W2015	1263C-11H	301.37	301.25	corr	W2015
					1263B-12H	184.58	184.50	corr	W2015	1263C-11H	302.08	302.08	splice	W2015
1263A-18H	181.74	181.65	corr	W2017	1263B-12H	185.96	186.06	corr	W2015	1263C-11H	307.14	307.14	splice	W2015
1263A-18H	181.85	181.76	corr	W2017	1263B-12H	186.18	186.40	corr	W2015	1263C-11H	307.71	307.71	corr	W2017
1263A-18H	182.10	182.04	corr	W2017	1263B-12H	186.71	186.90	corr	W2017					
1263A-18H	182.53	182.43	corr	W2017						1263C-12H	308.90	308.83	corr	W2017
1263A-18H	182.74	182.68	corr	W2017	1263B-13H	188.15	188.15	corr	W2015	1263C-12H	309.48	309.41	corr	W2015
1263A-18H	183.26	183.26	splice	W2017	1263B-13H	188.77	188.77	splice	W2015	1263C-12H	310.43	310.38	corr	W2015
1263A-18H	183.71	183.71	splice	W2017	1263B-13H	194.01	194.01	splice	W2015	1263C-12H	311.11	311.08	corr	W2015
1263A-18H	188.77	188.77	corr	W2017	1263B-13H	194.52	194.52	corr	W2015	1263C-12H	311.55	311.59	corr	W2015
1263A-18H	189.31	189.41	corr	W2017	1263B-13H	195.34	195.35	corr	W2015	1263C-12H	312.07	312.10	corr	W2015
1263A-18H	190.45	190.58	corr	W2017	1263B-13H	196.09	196.09	corr	W2015	1263C-12H	313.86	313.84	corr	W2017
1263A-18H	190.75	191.02	corr	W2017	1263B-13H	196.75	196.73	corr	W2015	1263C-12H	314.18	314.15	corr	W2015
1263A-18H	190.82	191.09	corr	W2017	1263B-13H	197.21	197.20	corr	W2015	1263C-12H	315.47	315.49	corr	W2017
					1263B-13H	197.46	197.43	corr	W2017	1263C-12H	315.71	315.71	splice	W2015
1263A-19H	192.86	192.84	corr	W2017	1263B-13H	197.69	197.66	corr	W2017	1263C-12H	318.59	318.59	splice	W2015
1263A-19H	193.01	193.00	corr	W2015						1263C-12H	318.65	318.65	corr	W2017
1263A-19H	193.52	193.52	corr	W2015	1263B-14H	199.25	199.22	corr	W2017					
1263A-19H	193.83	193.81	corr	W2015	1263B-14H	199.46	199.45	corr	W2017	1263C-13H	320.88	320.84	corr	W2017
1263A-19H	194.01	194.01	splice	W2015	1263B-14H	199.90	199.90	splice	W2015	1263C-13H	321.16	321.10	corr	W2015
1263A-19H	199.90	199.90	splice	W2015	1263B-14H	206.56	206.56	splice	W2015	1263C-13H	322.28	322.28	corr	W2015
1263A-19H	200.97	200.93	corr	W2017	1263B-14H	208.09	207.86	corr	W2017	1263C-13H	324.45	324.40	corr	W2015
