/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S30. Age model of ODP Site 208-1264. PANGAEA, https://doi.org/10.1594/PANGAEA.917627, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532483 * LONGITUDE: 2.845483
	DATE/TIME START: 2003-04-05T00:00:00 * DATE/TIME END: 2003-04-08T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.020 m * MAXIMUM DEPTH, sediment/rock: 280.360 m
Event(s):	208-1264 * LATITUDE: -28.532483 * LONGITUDE: 2.845483 * DATE/TIME START: 2003-04-05T00:00:00 * DATE/TIME END: 2003-04-08T00:00:00 * ELEVATION: -2505.1 m * Penetration: 566.5 m * Recovery: 563.8 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 61 cores; 566.5 m cored; 0 m drilled; 99.5 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1175 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Reference	Comment
208-1264A-1H-4-W50	5.000	7.96000	1.458000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-4-W91	5.410	8.37000	1.530000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-4-W117	5.670	8.63000	1.573000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-4-W131	5.810	8.77000	1.603000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-5-W2	6.020	8.98000	1.645000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-5-W62	6.620	9.58000	1.703000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-5-W94	6.940	9.90000	1.748000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-6-W2	7.520	10.48000	1.795000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-6-W29	7.790	10.75000	1.818000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-6-W70	8.200	11.16000	1.865000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-6-W99	8.490	11.45000	1.902000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-3-W52	10.820	11.93000	1.947000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-3-W82	11.120	12.23000	2.003000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-3-W107	11.370	12.48000	2.070000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-4-W67	12.470	13.58000	2.200000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-4-W112	12.920	14.03000	2.240000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-5-W76	14.060	15.17000	2.358000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-5-W141	14.710	15.82000	2.435000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-6-W22	15.020	16.13000	2.488000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-6-W54	15.340	16.45000	2.523000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-6-W88	15.680	16.79000	2.565000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-2H-6-W119	15.990	17.10000	2.603000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-2H-3-W78	13.080	17.41000	2.645000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-2H-4-W2	13.820	18.15000	2.715000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-2H-4-W131	15.110	19.44000	2.805000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-2H-5-W63	15.930	20.26000	2.938000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-3H-1-W97	17.770	20.58000	2.978000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-3H-2-W27	18.570	21.38000	3.030000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-3H-2-W105	19.350	22.16000	3.150000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-3H-2-W145	19.750	22.56000	3.175000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-3H-3-W55	20.350	23.16000	3.235000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-3H-3-W87	20.670	23.48000	3.280000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-3H-3-W112	20.920	23.73000	3.302000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-3H-4-W62.5	21.925	24.73500	3.385000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-3H-4-W127.5	22.575	25.38500	3.430000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-3H-2-W105	21.350	27.24000	3.533000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-3H-3-W80	22.600	28.49000	3.629000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-3H-4-W40	23.700	29.59000	3.715000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-3H-5-W100	25.800	31.69000	3.829000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-3H-6-W27.5	26.575	32.46500	3.876000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-4H-3-W97.5	30.275	33.87500	4.039000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-4H-4-W132.5	32.125	35.72500	4.158000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-4H-2-W37.5	30.175	37.38500	4.231000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-4H-2-W122.5	31.025	38.23500	4.264000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-4H-3-W25	31.550	38.76000	4.289000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-4H-3-W67.5	31.975	39.18500	4.313000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-4H-4-W5	32.850	40.06000	4.353000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-5H-1-W107.5	36.875	41.04500	4.389000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-5H-2-W22.5	37.525	41.69500	4.437000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-5H-2-W90	38.200	42.37000	4.476000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-5H-2-W149.5	38.795	42.96500	4.508000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-5H-3-W87.5	39.675	43.84500	4.554000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-5H-4-W22.5	40.525	44.69500	4.598000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-5H-4-W105	41.350	45.52000	4.633000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-5H-5-W37.5	42.175	46.34500	4.670000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-5H-5-W100	42.800	46.97000	4.717000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-5H-6-W70	44.000	48.17000	4.758000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-5H-2-W87.1	40.171	48.85100	4.791000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-5H-2-W135	40.650	49.33000	4.836000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-5H-3-W52	41.320	50.00000	4.879000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-5H-3-W125	42.050	50.73000	4.913000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-5H-4-W85	43.150	51.83000	4.954000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-5H-5-W40	44.200	52.88000	4.999000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-5H-5-W117.5	44.975	53.65500	5.036000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-6H-2-W135	48.150	54.41000	5.069000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-6H-3-W82.5	49.125	55.38500	5.118000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-6H-3-W147.5	49.775	56.03500	5.149000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-6H-4-W87.5	50.675	56.93500	5.192000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-6H-5-W15	51.450	57.71000	5.237000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-6H-5-W107.5	52.375	58.63500	5.275000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-6H-2-W135	50.150	60.17000	5.358000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-6H-3-W37.5	50.675	60.69500	5.405000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-6H-3-W95	51.250	61.27000	5.425000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-6H-3-W135	51.650	61.67000	5.447000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-6H-4-W90	52.700	62.72000	5.497000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-6H-5-W55	53.350	63.37000	5.520000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-6H-6-W40	54.080	64.10000	5.561000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-7H-3-W92.5	58.725	64.82500	5.613000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-7H-4-W57.5	59.875	65.97500	5.652000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-7H-5-W2.5	60.825	66.92500	5.691000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-7H-5-W80	61.600	67.70000	5.730000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-7H-6-W7.5	62.375	68.47500	5.773000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-7H-6-W87.5	63.175	69.27500	5.805000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-7H-2-W37.5	58.675	69.72500	5.825000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-7H-2-W80	59.100	70.15000	5.848000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-7H-3-W40	60.200	71.25000	5.898000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-7H-3-W120	61.000	72.05000	5.939000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-7H-4-W45	61.750	72.80000	5.981000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-7H-4-W110	62.400	73.45000	6.013000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264A-7H-5-W31.5	63.115	74.16500	6.052000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-8H-2-W140	67.200	74.96000	6.099000	Drury et al., in prep/submitted	CaCO3 Maxima/d18O minima to ET-P Maxima
208-1264B-8H-3-W82.5	68.125	75.88500	6.137000	Drury et al., in prep/submitted	CaCO3 Maxima to ET-P Maxima
208-1264B-8H-4-W42.5	69.225	76.98500	6.183000	Drury et al., in prep/submitted	CaCO3 Maxima to ET-P Maxima
208-1264B-8H-4-W90	69.700	77.46000	6.205000	Drury et al., in prep/submitted	CaCO3 Maxima to ET-P Maxima
208-1264A-20H-2-W26	182.060	204.99000	17.042000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-20H-2-W68	182.480	205.41000	17.135000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-20H-2-W118	182.980	205.91000	17.243000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-20H-3-W20	183.500	206.43000	17.352000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-20H-3-W48	183.780	206.71000	17.408000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-20H-3-W96	184.260	207.19000	17.509000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-20H-4-W60	185.400	208.33000	17.727000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-20H-4-W92	185.720	208.65000	17.818000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-20H-5-W88	187.180	210.11000	18.120000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-20H-6-W8	187.880	210.81000	18.223000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-20H-6-W30	188.100	211.03000	18.285000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-21H-3-W138	192.180	212.24000	18.494000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-21H-4-W30	192.600	212.66000	18.587000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-21H-4-W72	193.020	213.08000	18.670000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-21H-4-W144	193.740	213.80000	18.775000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-21H-5-W70	194.500	214.56000	18.893000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-21H-2-W42	191.720	215.65000	19.045000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-21H-3-W24	193.040	216.97000	19.220000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-21H-3-W102	193.820	217.75000	19.330000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-21H-4-W22	194.520	218.45000	19.411000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-22H-2-W138	200.180	220.93000	19.708000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-22H-3-W80	201.100	221.85000	19.809000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-22H-3-W148	201.780	222.53000	19.881000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-22H-4-W102	202.820	223.57000	19.982000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-22H-5-W48	203.780	224.53000	20.093000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-22H-5-W144	204.740	225.49000	20.205000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-22H-2-W148	202.280	227.18000	20.366000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-22H-3-W92	203.220	228.12000	20.477000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-22H-4-W16	203.960	228.86000	20.584000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-22H-4-W58	204.380	229.28000	20.668000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-22H-4-W94	204.740	229.64000	20.751000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264A-22H-5-W26	205.560	230.46000	20.856000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-23H-2-W126	209.560	231.21000	20.964000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-23H-3-W68	210.480	232.13000	21.057000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-23H-3-W98	210.780	232.43000	21.107000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-23H-4-W40	211.700	233.35000	21.214000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
208-1264B-23H-4-W114	212.440	234.09000	21.325000	Liebrand et al., 2016; updated in Drury et al., in prep/submitted	CaCO3 Maxima to E Minima
