/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S11. Bulk stable carbon and oxygen isotope data of ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917512, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 70.740 m * MAXIMUM DEPTH, sediment/rock: 285.300 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	δ13C [‰ PDB] (δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: VPDB
	δ18O [‰] (δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: VPDB
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	23242 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	δ13C [‰ PDB]	δ18O [‰]	Reference
208-1263A-9H-2,98	71.280	81.920		1.9740	1.7800	MARUM Bremen this study
208-1263A-9H-2,101	71.310	81.950		1.9480	1.8920	MARUM Bremen this study
208-1263A-9H-2,104	71.340	81.980		1.9080	2.0980	MARUM Bremen this study
208-1263A-9H-2,107	71.370	82.010		1.9270	1.8860	MARUM Bremen this study
208-1263A-9H-2,110	71.400	82.040		1.9310	2.1350	MARUM Bremen this study
208-1263A-9H-2,113	71.430	82.070		1.9060	1.7100	MARUM Bremen this study
208-1263A-9H-2,116	71.460	82.100		1.8480	1.5940	MARUM Bremen this study
208-1263A-9H-2,119	71.490	82.130		1.8570	1.5500	MARUM Bremen this study
208-1263A-9H-2,122	71.520	82.160		1.8810	1.5130	MARUM Bremen this study
208-1263A-9H-2,125	71.550	82.190		1.8910	1.6750	MARUM Bremen this study
208-1263A-9H-2,128	71.580	82.220		1.8970	1.6260	MARUM Bremen this study
208-1263A-9H-2,131	71.610	82.250		1.9350	1.7090	MARUM Bremen this study
208-1263A-9H-2,134	71.640	82.280		1.9160	1.6120	MARUM Bremen this study
208-1263A-9H-2,137	71.670	82.310		1.9040	1.5180	MARUM Bremen this study
208-1263A-9H-2,140	71.700	82.340		1.9470	1.7730	MARUM Bremen this study
208-1263A-9H-2,143	71.730	82.370		2.0200	1.6340	MARUM Bremen this study
208-1263A-9H-2,146	71.760	82.400		1.9930	1.5650	MARUM Bremen this study
208-1263A-9H-2,149	71.790	82.430		2.0040	1.6650	MARUM Bremen this study
208-1263A-9H-3,2	71.820	82.460		2.0850	1.7440	MARUM Bremen this study
208-1263A-9H-3,5	71.850	82.490		2.0590	1.7770	MARUM Bremen this study
208-1263A-9H-3,8	71.880	82.520		2.0290	1.6020	MARUM Bremen this study
208-1263A-9H-3,11	71.910	82.550		1.9820	1.6690	MARUM Bremen this study
208-1263A-9H-3,14	71.940	82.580		1.9970	1.7080	MARUM Bremen this study
208-1263A-9H-3,17	71.970	82.610		1.9800	1.7050	MARUM Bremen this study
208-1263A-9H-3,20	72.000	82.640		2.0000	1.8180	MARUM Bremen this study
208-1263A-9H-3,23	72.030	82.670		2.0100	1.9330	MARUM Bremen this study
208-1263A-9H-3,26	72.060	82.700		2.0060	1.8190	MARUM Bremen this study
208-1263A-9H-3,29	72.090	82.730		2.0310	1.7170	MARUM Bremen this study
208-1263A-9H-3,32	72.120	82.760		1.9470	1.7870	MARUM Bremen this study
208-1263A-9H-3,35	72.150	82.790		1.9520	1.7900	MARUM Bremen this study
208-1263A-9H-3,38	72.180	82.820		1.9810	1.6560	MARUM Bremen this study
208-1263A-9H-3,41	72.210	82.850		1.9330	1.7830	MARUM Bremen this study
208-1263A-9H-3,44	72.240	82.880		1.9190	1.7010	MARUM Bremen this study
208-1263A-9H-3,47	72.270	82.910	32.769090	1.9540	1.8270	MARUM Bremen this study
208-1263A-9H-3,50	72.300	82.940	32.772360	1.9340	1.7190	MARUM Bremen this study
208-1263A-9H-3,53	72.330	82.970	32.775630	1.9860	1.7300	MARUM Bremen this study
208-1263A-9H-3,56	72.360	83.000	32.778890	1.9280	1.6890	MARUM Bremen this study
208-1263A-9H-3,59	72.390	83.030	32.782160	1.9460	1.7530	MARUM Bremen this study
208-1263A-9H-3,62	72.420	83.060	32.785430	1.9300	1.7810	MARUM Bremen this study
208-1263A-9H-3,65	72.450	83.090	32.788700	1.9140	1.6600	MARUM Bremen this study
208-1263A-9H-3,68	72.480	83.120	32.791970	1.9350	1.7500	MARUM Bremen this study
208-1263A-9H-3,71	72.510	83.150	32.795240	2.0320	1.9320	MARUM Bremen this study
208-1263A-9H-3,74	72.540	83.180	32.798510	2.0290	1.9020	MARUM Bremen this study
208-1263A-9H-3,77	72.570	83.210	32.801770	2.0180	1.9490	MARUM Bremen this study
208-1263A-9H-3,80	72.600	83.240	32.805040	2.0790	1.9520	MARUM Bremen this study
208-1263A-9H-3,83	72.630	83.270	32.808310	2.0660	1.9770	MARUM Bremen this study
208-1263A-9H-3,86	72.660	83.300	32.811580	2.0560	1.9090	MARUM Bremen this study
208-1263A-9H-3,89	72.690	83.330	32.814850	2.0390	1.8400	MARUM Bremen this study
208-1263A-9H-3,92	72.720	83.360	32.818120	2.0570	1.8520	MARUM Bremen this study
208-1263A-9H-3,95	72.750	83.390	32.821380	2.0660	1.8190	MARUM Bremen this study
208-1263A-9H-3,98	72.780	83.420	32.824650	2.0630	1.8060	MARUM Bremen this study
208-1263A-9H-3,101	72.810	83.450	32.827920	2.0490	1.7140	MARUM Bremen this study
208-1263A-9H-3,104	72.840	83.480	32.831190	2.0280	1.6710	MARUM Bremen this study
208-1263A-9H-3,107	72.870	83.510	32.834460	2.0210	1.6790	MARUM Bremen this study
208-1263A-9H-3,110	72.900	83.540	32.837730	1.9780	1.6450	MARUM Bremen this study
208-1263A-9H-3,113	72.930	83.570	32.840990	2.0380	1.8350	MARUM Bremen this study
208-1263A-9H-3,116	72.960	83.600	32.844260	1.9960	1.5840	MARUM Bremen this study
208-1263A-9H-3,119	72.990	83.630	32.847530	2.0490	1.6470	MARUM Bremen this study
208-1263A-9H-3,122	73.020	83.660	32.850800	2.0700	1.8450	MARUM Bremen this study
208-1263A-9H-3,125	73.050	83.690	32.854070	2.1250	1.9300	MARUM Bremen this study
208-1263A-9H-3,128	73.080	83.720	32.857340	2.1340	1.9910	MARUM Bremen this study
208-1263A-9H-3,131	73.110	83.750	32.860610	2.0850	1.9930	MARUM Bremen this study
208-1263A-9H-3,134	73.140	83.780	32.863870	2.1060	1.8510	MARUM Bremen this study
208-1263A-9H-3,137	73.170	83.810	32.867140	2.0550	1.7890	MARUM Bremen this study
208-1263A-9H-3,140	73.200	83.840	32.870410	2.0750	1.7830	MARUM Bremen this study
208-1263A-9H-3,143	73.230	83.870	32.873680	2.1010	1.7400	MARUM Bremen this study
208-1263A-9H-3,146	73.260	83.900	32.876950	2.0580	1.6640	MARUM Bremen this study
208-1263A-9H-3,149	73.290	83.930	32.880220	2.0550	1.7450	MARUM Bremen this study
208-1263A-9H-4,2	73.320	83.960	32.883480	2.0530	1.8620	MARUM Bremen this study
208-1263A-9H-4,5	73.350	83.990	32.886750	2.0630	1.9600	MARUM Bremen this study
208-1263A-9H-4,8	73.380	84.020	32.890020	2.0740	1.9610	MARUM Bremen this study
208-1263A-9H-4,11	73.410	84.050	32.893290	2.0610	1.9090	MARUM Bremen this study
208-1263A-9H-4,14	73.440	84.080	32.896560	1.9060	1.6860	MARUM Bremen this study
208-1263A-9H-4,17	73.470	84.110	32.899830	2.0950	2.1720	MARUM Bremen this study
208-1263A-9H-4,20	73.500	84.140	32.903090	2.0790	2.2270	MARUM Bremen this study
208-1263A-9H-4,23	73.530	84.170	32.906360	2.0720	2.1600	MARUM Bremen this study
208-1263A-9H-4,26	73.560	84.200	32.909630	2.0380	2.0190	MARUM Bremen this study
208-1263A-9H-4,29	73.590	84.230	32.912900	2.0860	2.2150	MARUM Bremen this study
208-1263A-9H-4,32	73.620	84.260	32.916170	2.0200	1.9440	MARUM Bremen this study
208-1263A-9H-4,35	73.650	84.290	32.919440	1.9290	1.9520	MARUM Bremen this study
208-1263A-9H-4,38	73.680	84.320	32.922710	1.8980	1.8600	MARUM Bremen this study
208-1263A-9H-4,41	73.710	84.350	32.925970	1.8660	1.8010	MARUM Bremen this study
208-1263A-9H-4,44	73.740	84.380	32.929240	1.8730	1.7560	MARUM Bremen this study
208-1263A-9H-4,47	73.770	84.410	32.932510	1.9070	1.8810	MARUM Bremen this study
208-1263A-9H-4,50	73.800	84.440	32.935780	1.9480	1.9310	MARUM Bremen this study
208-1263A-9H-4,53	73.830	84.470	32.939050	1.9660	1.9630	MARUM Bremen this study
208-1263A-9H-4,56	73.860	84.500	32.942320	1.9760	1.9750	MARUM Bremen this study
208-1263A-9H-4,59	73.890	84.530	32.945580	1.9160	1.7970	MARUM Bremen this study
208-1263A-9H-4,62	73.920	84.560	32.948850	1.9660	1.9760	MARUM Bremen this study
208-1263A-9H-4,65	73.950	84.590	32.952120	1.8960	1.9170	MARUM Bremen this study
208-1263A-9H-4,68	73.980	84.620	32.955390	1.9600	1.9630	MARUM Bremen this study
208-1263A-9H-4,71	74.010	84.650	32.958660	1.9580	1.8840	MARUM Bremen this study
208-1263A-9H-4,74	74.040	84.680	32.961930	1.9760	1.8730	MARUM Bremen this study
208-1263A-9H-4,77	74.070	84.710	32.965190	1.9270	1.8510	MARUM Bremen this study
208-1263A-9H-4,80	74.100	84.740	32.968460	1.8080	1.6740	MARUM Bremen this study
208-1263A-9H-4,83	74.130	84.770	32.971730	1.8730	1.7350	MARUM Bremen this study
208-1263A-9H-4,86	74.160	84.800	32.975000	1.8500	1.7210	MARUM Bremen this study
208-1263A-9H-4,89	74.190	84.830	32.977710	1.9270	1.8120	MARUM Bremen this study
208-1263A-9H-4,92	74.220	84.860	32.980410	1.8450	1.5840	MARUM Bremen this study
208-1263A-9H-4,95	74.250	84.890	32.983120	2.0020	1.9510	MARUM Bremen this study
208-1263A-9H-4,98	74.280	84.920	32.985830	1.9730	1.9580	MARUM Bremen this study
208-1263A-9H-4,101	74.310	84.950	32.988530	1.9970	1.9120	MARUM Bremen this study
208-1263A-9H-4,104	74.340	84.980	32.991240	1.9340	1.8520	MARUM Bremen this study
208-1263A-9H-4,107	74.370	85.010	32.993950	1.9730	1.8230	MARUM Bremen this study
208-1263A-9H-4,110	74.400	85.040	32.996650	1.9950	1.9080	MARUM Bremen this study
208-1263A-9H-4,113	74.430	85.070	32.999360	1.9600	1.7270	MARUM Bremen this study
208-1263A-9H-4,116	74.460	85.100	33.002070	2.0220	1.8330	MARUM Bremen this study
208-1263A-9H-4,119	74.490	85.130	33.004780	2.0580	1.8320	MARUM Bremen this study
208-1263A-9H-4,122	74.520	85.160	33.007480	2.0720	1.7080	MARUM Bremen this study
208-1263A-9H-4,125	74.550	85.190	33.010190	2.0930	1.7960	MARUM Bremen this study
208-1263A-9H-4,128	74.580	85.220	33.012900	2.0770	1.7870	MARUM Bremen this study
208-1263A-9H-4,131	74.610	85.250	33.015600	2.1200	1.7560	MARUM Bremen this study
208-1263A-9H-4,134	74.640	85.280	33.018310	2.0770	1.7610	MARUM Bremen this study
208-1263A-9H-4,137	74.670	85.310	33.021020	2.0940	1.7600	MARUM Bremen this study
208-1263A-9H-4,140	74.700	85.340	33.023720	2.1090	1.8060	MARUM Bremen this study
208-1263A-9H-4,143	74.730	85.370	33.026430	2.0890	1.7470	MARUM Bremen this study
208-1263A-9H-4,146	74.760	85.400	33.029140	2.0560	1.6600	MARUM Bremen this study
208-1263A-9H-4,149	74.790	85.430	33.031840	2.0600	1.7130	MARUM Bremen this study
208-1263A-9H-5,2	74.820	85.460	33.034550	2.0470	1.6580	MARUM Bremen this study
208-1263A-9H-5,5	74.850	85.490	33.037260	2.0510	1.6850	MARUM Bremen this study
208-1263A-9H-5,8	74.880	85.520	33.039960	2.0530	1.6000	MARUM Bremen this study
208-1263A-9H-5,11	74.910	85.550	33.042670	1.9900	1.6220	MARUM Bremen this study
208-1263A-9H-5,14	74.940	85.580	33.045380	1.9860	1.5930	MARUM Bremen this study
208-1263A-9H-5,17	74.970	85.610	33.048090	2.0840	1.5720	MARUM Bremen this study
208-1263A-9H-5,20	75.000	85.640	33.050790	2.0240	1.5590	MARUM Bremen this study
208-1263A-9H-5,23	75.030	85.670	33.053500	2.0440	1.6280	MARUM Bremen this study
208-1263A-9H-5,26	75.060	85.700	33.056210	2.0350	1.5540	MARUM Bremen this study
208-1263A-9H-5,29	75.090	85.730	33.058910	2.0430	1.6280	MARUM Bremen this study
208-1263A-9H-5,32	75.120	85.760	33.061620	2.0430	1.5840	MARUM Bremen this study
208-1263A-9H-5,35	75.150	85.790	33.064330	2.1100	1.5870	MARUM Bremen this study
208-1263A-9H-5,38	75.180	85.820	33.067030	2.0890	1.5620	MARUM Bremen this study
208-1263A-9H-5,41	75.210	85.850	33.069740	2.0610	1.5310	MARUM Bremen this study
208-1263A-9H-5,44	75.240	85.880	33.072450	2.0150	1.5470	MARUM Bremen this study
208-1263A-9H-5,47	75.270	85.910	33.075150	1.9900	1.5770	MARUM Bremen this study
208-1263A-9H-5,50	75.300	85.940	33.077860	1.9840	1.5980	MARUM Bremen this study
208-1263A-9H-5,53	75.330	85.970	33.080570	2.0000	1.6220	MARUM Bremen this study
208-1263A-9H-5,56	75.360	86.000	33.083270	2.0340	1.6030	MARUM Bremen this study
208-1263A-9H-5,59	75.390	86.030	33.085980	2.1220	1.4600	MARUM Bremen this study
208-1263A-9H-5,62	75.420	86.060	33.088690	2.0580	1.5360	MARUM Bremen this study
208-1263A-9H-5,65	75.450	86.090	33.091390	2.0790	1.4950	MARUM Bremen this study
208-1263A-9H-5,68	75.480	86.120	33.094100	2.1350	1.4990	MARUM Bremen this study
208-1263A-9H-5,71	75.510	86.150	33.096810	2.1470	1.6220	MARUM Bremen this study
208-1263A-9H-5,74	75.540	86.180	33.099520	2.1280	1.5020	MARUM Bremen this study
208-1263A-9H-5,77	75.570	86.210	33.102220	2.1350	1.5940	MARUM Bremen this study
208-1263A-9H-5,80	75.600	86.240	33.104930	2.1240	1.5540	MARUM Bremen this study
208-1263A-9H-5,83	75.630	86.270	33.107640	2.1420	1.6100	MARUM Bremen this study
208-1263A-9H-5,86	75.660	86.300	33.110340	2.1760	1.6320	MARUM Bremen this study
208-1263A-9H-5,89	75.690	86.330	33.113050	2.2390	1.7340	MARUM Bremen this study
208-1263A-9H-5,92	75.720	86.360	33.115760	2.2440	1.8400	MARUM Bremen this study
208-1263A-9H-5,95	75.750	86.390	33.118460	2.2160	1.7670	MARUM Bremen this study
208-1263A-9H-5,98	75.780	86.420	33.121170	2.2290	1.7250	MARUM Bremen this study
208-1263A-9H-5,101	75.810	86.450	33.123880	2.1580	1.6620	MARUM Bremen this study
208-1263A-9H-5,104	75.840	86.480	33.126580	2.1490	1.5920	MARUM Bremen this study
208-1263A-9H-5,107	75.870	86.510	33.129290	2.2150	1.6520	MARUM Bremen this study
208-1263A-9H-5,110	75.900	86.540	33.132000	2.1800	1.6380	MARUM Bremen this study
208-1263A-9H-5,113	75.930	86.570	33.134700	2.2010	1.5900	MARUM Bremen this study
208-1263A-9H-5,116	75.960	86.600	33.137410	2.1640	1.5840	MARUM Bremen this study
208-1263A-9H-5,119	75.990	86.630	33.140120	2.1800	1.6730	MARUM Bremen this study
208-1263A-9H-5,122	76.020	86.660	33.142830	2.1730	1.7800	MARUM Bremen this study
208-1263A-9H-5,125	76.050	86.690	33.145530	2.1500	1.6060	MARUM Bremen this study
208-1263A-9H-5,128	76.080	86.720	33.148240	2.1410	1.6890	MARUM Bremen this study
208-1263A-9H-5,131	76.110	86.750	33.150950	2.2020	1.6190	MARUM Bremen this study
208-1263A-9H-5,134	76.140	86.780	33.153650	2.2310	1.6590	MARUM Bremen this study
208-1263A-9H-5,137	76.170	86.810	33.156360	2.2350	1.5510	MARUM Bremen this study
208-1263A-9H-5,140	76.200	86.840	33.159070	2.2760	1.6310	MARUM Bremen this study
208-1263A-9H-6,2	76.320	86.960	33.169890	2.2580	1.6300	MARUM Bremen this study
208-1263A-9H-6,5	76.350	86.990	33.172600	2.1920	1.6610	MARUM Bremen this study
208-1263A-9H-6,8	76.380	87.020	33.175310	2.1730	1.6590	MARUM Bremen this study
208-1263A-9H-6,11	76.410	87.050	33.178010	2.2080	1.6060	MARUM Bremen this study
208-1263A-9H-6,14	76.440	87.080	33.180720	2.1590	1.5120	MARUM Bremen this study
208-1263A-9H-6,17	76.470	87.110	33.183430	2.1390	1.5470	MARUM Bremen this study
208-1263A-9H-6,20	76.500	87.140	33.186130	2.2290	1.8620	MARUM Bremen this study
208-1263A-9H-6,23	76.530	87.170	33.188840	2.2580	1.8710	MARUM Bremen this study
208-1263A-9H-6,26	76.560	87.200	33.191550	2.2690	1.9340	MARUM Bremen this study
208-1263A-9H-6,29	76.590	87.230	33.194260	2.2430	1.9220	MARUM Bremen this study
208-1263A-9H-6,32	76.620	87.260	33.196960	2.2330	1.7960	MARUM Bremen this study
208-1263A-9H-6,35	76.650	87.290	33.199670	2.2590	1.8700	MARUM Bremen this study
208-1263A-9H-6,38	76.680	87.320	33.202380	2.2390	1.7170	MARUM Bremen this study
208-1263A-9H-6,41	76.710	87.350	33.205080	2.2750	1.6660	MARUM Bremen this study
208-1263A-9H-6,44	76.740	87.380	33.207790	2.2740	1.5790	MARUM Bremen this study
208-1263A-9H-6,47	76.770	87.410	33.210500	2.3770	1.6990	MARUM Bremen this study
208-1263A-9H-6,50	76.800	87.440	33.213200	2.4170	1.6980	MARUM Bremen this study
208-1263A-9H-6,53	76.830	87.470	33.215910	2.3350	1.6840	MARUM Bremen this study
208-1263A-9H-6,56	76.860	87.500	33.219190	2.4380	1.7240	MARUM Bremen this study
208-1263A-9H-6,59	76.890	87.530	33.222490	2.3890	1.6800	MARUM Bremen this study
208-1263A-9H-6,62	76.920	87.560	33.225790	2.4770	1.6380	MARUM Bremen this study
208-1263A-9H-6,65	76.950	87.590	33.229080	2.4320	1.6290	MARUM Bremen this study
208-1263A-9H-6,68	76.980	87.620	33.232380	2.4260	1.6270	MARUM Bremen this study
208-1263A-9H-6,71	77.010	87.650	33.235680	2.3950	1.6510	MARUM Bremen this study
