/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S28. Age model of ODP Site 208-1262. PANGAEA, https://doi.org/10.1594/PANGAEA.917592, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 88.470 m * MAXIMUM DEPTH, sediment/rock: 211.780 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	650 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Reference	Comment
208-1262A-17H-2,136	154.860	175.250	59.618999	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262A-17H-3,67	155.670	176.060	59.724998	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262A-17H-4,88	157.380	177.770	60.007000	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262A-17H-4,145	157.950	178.340	60.105999	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262A-17H-6,10	159.600	179.990	60.292999	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262B-19H-2,79	164.690	180.780	60.380001	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262B-19H-3,19	165.590	181.680	60.478001	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262B-19H-4,145	168.350	184.440	60.855000	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262B-19H-5,98	169.380	185.470	60.959999	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262C-10H-4,50	173.000	187.920	61.243000	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262C-10H-4,122	173.720	188.640	61.346001	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262B-20H-2,53	173.930	191.260	61.619999	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-20H-2,131	174.710	192.040	61.722000	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-20H-4,71	177.110	194.440	62.005001	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-20H-5,8	177.980	195.310	62.106998	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-11H-2,125	180.250	196.770	62.300999	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-11H-4,44	182.440	198.960	62.585999	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-11H-5,71	184.210	200.730	62.851002	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-11H-6,5	185.050	201.570	62.957001	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-21H-2,38	183.280	203.220	63.240002	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-12H-1,95	184.950	203.730	63.348000	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-12H-2,110	186.600	205.380	63.720001	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-12H-3,92	187.920	206.700	64.002998	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-12H-3,140	188.400	207.180	64.102997	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-12H-4,92	189.420	208.200	64.306999	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-12H-5,5	190.050	208.830	64.411003	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-12H-6,53	192.030	210.810	64.834000	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-12H-7,8	192.580	211.360	64.942001	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-12H-7,49	192.990	211.770	65.035004	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-22H-1,50	191.400	212.390	65.132004	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-22H-2,16	192.060	213.050	65.224998	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-22H-2,42	192.320	213.310	65.329002	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-22H-3,26	192.920	213.910	65.433998	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-22H-3,72	193.380	214.370	65.527000	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-22H-3,114	193.800	214.790	65.611000	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262B-22H-4,6	194.220	215.210	65.721001	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-13H-1,92	194.420	215.460	65.828003	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-13H-1,139	194.890	215.930	65.930000	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-13H-2,24	195.240	216.280	65.994003	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-13H-2,67	195.670	216.710	66.022003	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-13H-3,72	197.220	218.260	66.141998	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-13H-5,15	199.650	220.690	66.252998	Dinarès-Turell et al. (2014)	Barnet et al. 2019, Updated to La2010b
208-1262C-13H-6,99	201.990	223.030	66.337997	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262B-23H-3,10	203.500	226.680	66.529999	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262C-14H-2,84	205.340	228.760	66.635002	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262C-14H-3,144	207.440	230.860	66.734001	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262C-14H-5,132	210.320	233.740	66.934998	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
208-1262C-14H-6,128	211.780	235.200	67.040001	Westerhold et al. (2008)	Barnet et al. 2019, Updated to La2010b
