/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S16. Revised site-to-site correlation tie points between ODP Sites 208-1263 and 208-1267. PANGAEA, https://doi.org/10.1594/PANGAEA.917523, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.098083 * LONGITUDE: 1.710967
	DATE/TIME START: 2003-04-21T00:00:00 * DATE/TIME END: 2003-04-26T00:00:00
	MINIMUM DEPTH, sediment/rock: 44.930 m * MAXIMUM DEPTH, sediment/rock: 288.570 m
Event(s):	208-1267 * LATITUDE: -28.098083 * LONGITUDE: 1.710967 * DATE/TIME START: 2003-04-21T00:00:00 * DATE/TIME END: 2003-04-26T00:00:00 * ELEVATION: -4354.7 m * Penetration: 641.1 m * Recovery: 636.6 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 69 cores; 641.1 m cored; 0 m drilled; 99.3 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tie point (Tie point) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: corrected
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1470 data points
*/
Sample label	Depth sed [m] (mbsf)	Depth comp [mcd]	Tie point	Sample label	Depth sed [m] (mbsf)	Depth comp r [rmcd]	Depth comp r [rmcd] (corrected)	Reference
208-1267B-16-2,102	138.620	154.02	Ties To	208-1263B-11-3,31	144.31	169.34		Westerhold et al. 2017
208-1267B-16-3,8	139.180	154.58	Ties To	208-1263B-11-4,126	146.76	171.79		Westerhold et al. 2017
208-1267B-16-3,52	139.620	155.02	Ties To	208-1263B-11-5,143	148.43	173.46		Westerhold et al. 2017
208-1267B-16-3,93	140.030	155.43	Ties To	208-1263A-17-3,128	149.08	175.42		Westerhold et al. 2017
208-1267B-16-3,118	140.280	155.68	Ties To	208-1263A-17-4,93	150.23	176.57		Westerhold et al. 2017
208-1267B-16-5,34	142.440	157.84	Ties To	208-1263A-18-4,52	159.32	186.76		Westerhold et al. 2017
208-1267B-16-5,68	142.780	158.18	Ties To	208-1263A-18-4,127	160.07	187.51		Westerhold et al. 2017
208-1267B-16-5,132	143.420	158.82	Ties To	208-1263B-13-1,126	161.26	189.43		Westerhold et al. 2017
208-1267B-16-6,82	144.420	159.82	Ties To	208-1263B-13-3,128	164.28	192.45		Westerhold et al. 2017
208-1267A-16-2,76	144.160	160.56	Ties To	208-1263A-19-1,125	165.05	194.11		Westerhold et al. 2017
208-1267A-16-3,2	144.920	161.32	Ties To	208-1263A-19-3,20	167.00	196.06		Westerhold et al. 2017
208-1267A-16-3,24	145.140	161.54	Ties To	208-1263A-19-3,66	167.46	196.52		Westerhold et al. 2017
208-1267A-16-3,82	145.720	162.12	Ties To	208-1263A-19-4,66	168.96	198.02		Westerhold et al. 2017
208-1267A-16-3,100	145.900	162.30	Ties To	208-1263A-19-4,115	169.45	198.51		Westerhold et al. 2017
208-1267A-16-3,134	146.240	162.64	Ties To	208-1263A-19-5,38	170.18	199.24		Westerhold et al. 2017
208-1267A-16-4,10	146.500	162.90	Ties To	208-1263A-19-5,96	170.76	199.82		Westerhold et al. 2017
208-1267A-16-4,62	147.020	163.42	Ties To	208-1263B-14-2,36	171.36	201.03		Westerhold et al. 2017
208-1267A-16-4,100	147.400	163.80	Ties To	208-1263B-14-2,132	172.32	201.99		Westerhold et al. 2017
208-1267A-16-4,126	147.660	164.06	Ties To	208-1263B-14-3,46	172.96	202.63		Westerhold et al. 2017
208-1267A-16-5,45	148.350	164.75	Ties To	208-1263B-14-4,74	174.74	204.41		Westerhold et al. 2017
208-1267A-16-5,92	148.820	165.22	Ties To	208-1263B-14-5,28	175.78	205.45		Westerhold et al. 2017
208-1267B-17-3,2	148.620	165.72	Ties To	208-1263B-14-5,133	176.83	206.50		Westerhold et al. 2017
208-1267B-17-3,18	148.780	165.88	Ties To	208-1263A-20-2,68	175.48	206.84		Westerhold et al. 2017
208-1267B-17-3,42	149.020	166.12	Ties To	208-1263A-20-2,112	175.92	207.28		Westerhold et al. 2017
208-1267B-17-4,56	150.660	167.76	Ties To	208-1263A-20-5,14	179.44	210.80		Westerhold et al. 2017
208-1267B-17-4,99	151.090	168.19	Ties To	208-1263B-15-3,107	181.07	211.92		Westerhold et al. 2017
208-1267B-17-4,124	151.340	168.44	Ties To	208-1263B-15-4,30	181.80	212.65		Westerhold et al. 2017
208-1267B-17-5,28	151.880	168.98	Ties To	208-1263B-15-5,122	184.22	215.07		Westerhold et al. 2017
208-1267B-17-5,56	152.160	169.26	Ties To	208-1263A-21-1,30	183.10	216.93		Westerhold et al. 2017
208-1267B-17-5,90	152.500	169.60	Ties To	208-1263A-21-1,88	183.68	217.51		Westerhold et al. 2017
208-1267B-17-6,39	153.490	170.59	Ties To	208-1263A-21-3,62	186.42	220.25		Westerhold et al. 2017
208-1267B-17-6,67	153.770	170.87	Ties To	208-1263B-16-1,124	187.74	220.87		Westerhold et al. 2017
208-1267B-17-7,17	154.770	171.88	Ties To	208-1263B-16-3,130	190.80	223.93		Westerhold et al. 2017
208-1267A-17-3,122	155.620	172.42	Ties To	208-1263B-16-4,118	192.18	225.31		Westerhold et al. 2017
208-1267A-17-4,11	156.010	172.81	Ties To	208-1263B-16-5,96	193.46	226.59		Westerhold et al. 2017
208-1267A-17-4,27	156.170	172.97	Ties To	208-1263B-16-5,134	193.84	226.97		Westerhold et al. 2017
208-1267A-17-4,52	156.420	173.22	Ties To	208-1263B-16-6,67	194.67	227.80		Westerhold et al. 2017
208-1267A-17-4,62	156.520	173.32	Ties To	208-1263B-16-6,102	195.02	228.15		Westerhold et al. 2017
208-1267A-17-4,129	157.190	173.99		208-gap in 1263, correlated to 1265		230.22		Westerhold et al. 2017
208-1267A-17-5,14	157.540	174.34		208-gap in 1263, correlated to 1265		231.60		Westerhold et al. 2017
208-1267A-17-5,57	157.970	174.77		208-gap in 1263, correlated to 1265		233.11		Westerhold et al. 2017
208-1267A-17-6,12	159.020	175.82	Ties To	208-1263B-19-2,76	203.26	235.86		Westerhold et al. 2017
208-1267A-17-6,52	159.420	176.22	Ties To	208-1263A-23-3,10	204.89	237.44		Westerhold et al. 2017
208-1267B-18-3,88	158.980	176.78	Ties To	208-1263A-23-3,126	206.05	238.60		Westerhold et al. 2017
208-1267B-18-4,19	159.790	177.59	Ties To	208-1263B-20-2,31	206.71	240.42		Westerhold et al. 2017
208-1267B-18-4,72	160.320	178.12	Ties To	208-1263B-20-3,4	207.94	241.65		Westerhold et al. 2017
208-1267B-18-4,132	160.920	178.72	Ties To	208-1263B-20-3,144	209.34	243.05		Westerhold et al. 2017
208-1267B-18-5,20	161.300	179.10	Ties To	208-1263B-20-4,76	210.16	243.87		Westerhold et al. 2017
208-1267B-18-5,70	161.800	179.60	Ties To	208-1263B-20-5,32	211.22	244.93		Westerhold et al. 2017
208-1267B-18-5,75	161.850	179.65	Ties To	208-1263B-20-5,62	211.52	245.23		Westerhold et al. 2017
208-1267B-18-5,88	161.980	179.78	Ties To	208-1263B-20-5,86	211.76	245.47		Westerhold et al. 2017
208-1267A-18-1,136	162.260	180.46	Ties To	208-1263B-20-6,92	213.32	247.03		Westerhold et al. 2017
208-1267A-18-2,21	162.610	180.81	Ties To	208-1263A-24-4,80	213.40	248.05		Westerhold et al. 2017
208-1267A-18-2,39	162.790	180.99	Ties To	208-1263A-24-4,134	213.94	248.59		Westerhold et al. 2017
208-1267A-18-2,54	162.940	181.14	Ties To	208-1263A-24-5,42	214.52	249.17		Westerhold et al. 2017
208-1267A-18-2,102	163.420	181.62	Ties To	208-1263A-24-6,22	215.82	250.47		Westerhold et al. 2017
208-1267A-18-2,138	163.780	181.98	Ties To	208-1263A-24-6,134	216.94	251.59		Westerhold et al. 2017
208-1267A-18-3,21	164.110	182.31	Ties To	208-1263B-21-2,76	216.66	252.58		Westerhold et al. 2017
208-1267A-18-3,48	164.380	182.58	Ties To	208-1263B-21-2,142	217.32	253.24		Westerhold et al. 2017
208-1267A-18-3,62	164.520	182.72	Ties To	208-1263B-21-3,22	217.62	253.54		Westerhold et al. 2017
208-1267A-18-3,71	164.610	182.81	Ties To	208-1263B-21-3,53	217.93	253.85		Westerhold et al. 2017
208-1267A-18-3,101	164.910	183.11	Ties To	208-1263B-21-3,126	218.66	254.58		Westerhold et al. 2017
208-1267A-18-3,113	165.030	183.23	Ties To	208-1263B-21-4,15	219.05	254.97		Westerhold et al. 2017
208-1267A-18-3,121	165.110	183.31	Ties To	208-1263B-21-4,40	219.30	255.22		Westerhold et al. 2017
208-1267B-19-1,28	164.880	183.58	Ties To	208-1263B-21-4,78	219.68	255.60		Westerhold et al. 2017
208-1267B-19-1,63	165.230	183.93	Ties To	208-1263B-21-5,6	220.46	256.38		Westerhold et al. 2017
208-1267B-19-1,77	165.370	184.07	Ties To	208-1263B-21-5,46	220.86	256.78		Westerhold et al. 2017
208-1267B-19-1,97	165.570	184.27	Ties To	208-1263C-7-2,39	223.34	257.61		Westerhold et al. 2017
208-1267B-19-1,140	166.000	184.70	Ties To	208-1263C-7-2,146	224.41	258.68		Westerhold et al. 2017
208-1267B-19-2,24	166.340	185.04	Ties To	208-1263A-26-1,15	222.75	259.60		Westerhold et al. 2017
208-1267B-19-2,36	166.460	185.16	Ties To	208-1263A-26-1,62	223.22	260.07		Westerhold et al. 2017
208-1267B-19-2,64	166.740	185.44	Ties To	208-1263A-26-1,138	223.98	260.83		Westerhold et al. 2017
208-1267B-19-2,83	166.930	185.63	Ties To	208-1263A-26-2,22	224.32	261.17		Westerhold et al. 2017
208-1267B-19-2,92	167.020	185.72	Ties To	208-1263A-26-2,44	224.54	261.39		Westerhold et al. 2017
208-1267B-19-2,100	167.100	185.80	Ties To	208-1263A-26-2,64	224.74	261.59		Westerhold et al. 2017
208-1267B-19-2,122	167.320	186.02	Ties To	208-1263A-26-2,108	225.18	262.03		Westerhold et al. 2017
208-1267B-19-3,3	167.630	186.33	Ties To	208-1263A-26-3,39	225.99	262.84		Westerhold et al. 2017
208-1267B-19-3,40	168.000	186.70	Ties To	208-1263B-22-2,6	225.46	263.79		Westerhold et al. 2017
208-1267B-19-3,80	168.400	187.10	Ties To	208-1263B-22-2,80	226.20	264.53		Westerhold et al. 2017
208-1267B-19-3,137	168.970	187.67	Ties To	208-1263B-22-3,37	227.27	265.60		Westerhold et al. 2017
208-1267B-19-4,46	169.560	188.26	Ties To	208-1263B-22-3,110	228.00	266.33		Westerhold et al. 2017
208-1267B-19-4,86	169.960	188.66	Ties To	208-1263B-22-4,24	228.64	266.97		Westerhold et al. 2017
208-1267B-19-4,130	170.400	189.10	Ties To	208-1263B-22-4,112	229.52	267.85		Westerhold et al. 2017
208-1267B-19-4,142	170.520	189.22	Ties To	208-1263B-22-4,133	229.73	268.06		Westerhold et al. 2017
208-1267B-19-5,4	170.640	189.34	Ties To	208-1263B-22-5,6	229.96	268.29		Westerhold et al. 2017
208-1267B-19-5,38	170.980	189.68	Ties To	208-1263B-22-5,58	230.48	268.81		Westerhold et al. 2017
208-1267B-19-5,51	171.110	189.81	Ties To	208-1263B-22-5,86	230.76	269.09		Westerhold et al. 2017
208-1267B-19-5,58	171.180	189.88	Ties To	208-1263B-22-5,105	230.95	269.28		Westerhold et al. 2017
208-1267B-19-5,108	171.680	190.38	Ties To	208-1263B-22-6,46	231.86	270.19		Westerhold et al. 2017
208-1267B-19-5,144	172.040	190.74	Ties To	208-1263B-22-6,110	232.50	270.83		Westerhold et al. 2017
208-1267B-19-6,44	172.540	191.24	Ties To	208-1263B-22-7,66	233.56	271.89		Westerhold et al. 2017
208-1267B-19-6,118	173.280	191.98	Ties To	208-1263A-27-1,134	233.44	273.47		Westerhold et al. 2017
208-1267B-19-6,140	173.500	192.20	Ties To	208-1263A-27-2,16	233.76	273.79		Westerhold et al. 2017
208-1267A-19-2,126	173.160	192.66	Ties To	208-1263A-27-2,80	234.40	274.43		Westerhold et al. 2017
208-1267A-19-3,12	173.520	193.02	Ties To	208-1263A-27-2,146	235.06	275.09		Westerhold et al. 2017
208-1267A-19-3,30	173.700	193.20	Ties To	208-1263A-27-3,40	235.50	275.53		Westerhold et al. 2017
208-1267A-19-3,64	174.040	193.54	Ties To	208-1263A-27-3,102	236.12	276.15		Westerhold et al. 2017
208-1267A-19-3,80	174.200	193.70	Ties To	208-1263A-27-3,134	236.44	276.47		Westerhold et al. 2017
208-1267A-19-3,98	174.380	193.88	Ties To	208-1263A-27-4,14	236.74	276.77		Westerhold et al. 2017
208-1267A-19-3,144	174.840	194.34	Ties To	208-1263A-27-4,104	237.64	277.67		Westerhold et al. 2017
208-1267A-19-4,58	175.480	194.98	Ties To	208-1263A-27-5,60	238.70	278.73		Westerhold et al. 2017
208-1267A-19-4,95	175.850	195.35	Ties To	208-1263A-27-5,138	239.48	279.51		Westerhold et al. 2017
208-1267A-19-5,35	176.310	195.81	Ties To	208-1263C-9-4,102	240.42	280.21		Westerhold et al. 2017
208-1267B-20-1,104	175.140	196.24	Ties To	208-1263C-9-5,16	241.06	280.85		Westerhold et al. 2017
208-1267B-20-1,146	175.560	196.66	Ties To	208-1263C-9-5,104	241.94	281.73		Westerhold et al. 2017
208-1267B-20-2,28	175.880	196.98	Ties To	208-1263C-9-6,4	242.44	282.23		Westerhold et al. 2017
208-1267B-20-2,76	176.360	197.46	Ties To	208-1263C-9-6,90	243.30	283.09		Westerhold et al. 2017
208-1267B-20-2,112	176.720	197.82	Ties To	208-1263C-9-7,9	243.99	283.78		Westerhold et al. 2017
208-1267B-20-2,135	176.950	198.05	Ties To	208-1263C-9-7,49	244.39	284.18		Westerhold et al. 2017
208-1267B-20-3,16	177.260	198.36	Ties To	208-1263A-28-1,33	241.93	284.45		Westerhold et al. 2017
208-1267B-20-3,77	177.870	198.97	Ties To	208-1263A-28-1,69	242.29	284.81		Westerhold et al. 2017
208-1267B-20-3,106	178.160	199.26	Ties To	208-1263A-28-1,122	242.82	285.34		Westerhold et al. 2017
208-1267B-20-3,136	178.460	199.56	Ties To	208-1263A-28-2,31	243.41	285.93		Westerhold et al. 2017
208-1267B-20-4,65	179.250	200.35	Ties To	208-1263A-28-3,19	244.79	287.31		Westerhold et al. 2017
208-1267B-20-4,76	179.360	200.46	Ties To	208-1263A-28-3,42	245.02	287.54		Westerhold et al. 2017
208-1267B-20-4,87	179.470	200.57	Ties To	208-1263A-28-3,64	245.24	287.76		Westerhold et al. 2017
208-1267B-20-5,12	180.220	201.32	Ties To	208-1263B-24-3,56	246.46	288.75		Westerhold et al. 2017
208-1267B-20-5,40	180.500	201.60	Ties To	208-1263B-24-3,88	246.78	289.07		Westerhold et al. 2017
208-1267B-20-5,64	180.740	201.84	Ties To	208-1263B-24-3,122	247.12	289.41		Westerhold et al. 2017
208-1267B-20-5,120	181.300	202.40	Ties To	208-1263B-24-4,64	248.04	290.33		Westerhold et al. 2017
208-1267B-20-6,46	182.060	203.16	Ties To	208-1263B-24-5,33	249.23	291.52		Westerhold et al. 2017
208-1267B-20-6,96	182.560	203.66	Ties To	208-1263B-24-5,114	250.04	292.33		Westerhold et al. 2017
208-1267A-20-2,137	182.770	203.87	Ties To	208-1263B-24-5,148	250.38	292.67		Westerhold et al. 2017
208-1267A-20-3,5	182.950	204.05	Ties To	208-1263C-10-5,73	251.13	293.01		Westerhold et al. 2017
208-1267A-20-3,40	183.300	204.40	Ties To	208-1263C-10-5,136	251.76	293.64		Westerhold et al. 2017
208-1267A-20-3,71	183.610	204.71	Ties To	208-1263C-10-6,47	252.37	294.25		Westerhold et al. 2017
208-1267A-20-3,108	183.980	205.08	Ties To	208-1263C-10-7,8	252.98	294.86		Westerhold et al. 2007
208-1267A-20-3,121	184.110	205.21	Ties To	208-1263C-10-7,24	253.14	295.02		Westerhold et al. 2017
208-1267A-20-4,2	184.420	205.52	Ties To	208-1263C-10-7,59	253.49	295.37		Westerhold et al. 2017
208-1267A-20-4,80	185.200	206.30	Ties To	208-1263A-29-2,7	252.67	296.45		Westerhold et al. 2017
208-1267A-20-4,104	185.440	206.54	Ties To	208-1263A-29-2,42	253.02	296.80		Westerhold et al. 2017
208-1267A-20-5,52	186.420	207.52	Ties To	208-1263A-29-3,6	254.16	297.94		Westerhold et al. 2017
208-1267A-20-5,83	186.730	207.83	Ties To	208-1263A-29-3,40	254.50	298.28		Westerhold et al. 2007
208-1267A-20-6,40	187.400	208.50	Ties To	208-1263A-29-3,132	255.42	299.20		Westerhold et al. 2017
208-1267A-20-6,77	187.770	208.87	Ties To	208-1263A-29-4,26	255.86	299.64		Westerhold et al. 2017
208-1267B-21-2,106	186.160	209.16	Ties To	208-1263A-29-4,72	256.32	300.10		Westerhold et al. 2017
208-1267B-21-2,138	186.480	209.48	Ties To	208-1263A-29-4,112	256.72	300.50		Westerhold et al. 2017
208-1267B-21-3,22	186.820	209.82	Ties To	208-1263A-29-5,36	257.46	301.24		Westerhold et al. 2017
208-1267B-21-3,50	187.100	210.10	Ties To	208-1263A-29-5,74	257.84	301.62		Westerhold et al. 2017
208-1267B-21-3,83	187.430	210.43	Ties To	208-1263C-11-3,148	258.38	302.17		Westerhold et al. 2007
208-1267B-21-3,108	187.680	210.68	Ties To	208-1263C-11-4,38	258.78	302.57		Westerhold et al. 2007
208-1267B-21-3,133	187.930	210.93	Ties To	208-1263C-11-4,74	259.14	302.93		Westerhold et al. 2007
208-1267B-21-4,30	188.400	211.40	Ties To	208-1263C-11-4,146	259.86	303.65		Westerhold et al. 2017
