/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S24. Age model of ODP Site 154-926 Ceara Rise. PANGAEA, https://doi.org/10.1594/PANGAEA.917570, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 3.719017 * LONGITUDE: -42.908300
	DATE/TIME START: 1994-02-19T00:00:00 * DATE/TIME END: 1994-02-27T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 282.320 m
Event(s):	154-926 * LATITUDE: 3.719017 * LONGITUDE: -42.908300 * DATE/TIME START: 1994-02-19T00:00:00 * DATE/TIME END: 1994-02-27T00:00:00 * ELEVATION: -3610.0 m * Penetration: 1331.1 m * Recovery: 1322.4 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg154 (URI: https://doi.org/10.2973/odp.proc.ir.154.1995) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 141 cores; 1330.6 m cored; 0 m drilled; 99.4% recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	2500 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Reference
154-926C-4H-2,91	31.410	35.15	1.084	Wilkens et al. 2017
154-926C-4H-2,130	31.800	35.54	1.103	Wilkens et al. 2017
154-926C-4H-3,16	32.160	35.90	1.114	Wilkens et al. 2017
154-926C-4H-3,86	32.860	36.60	1.136	Wilkens et al. 2017
154-926C-4H-3,141	33.410	37.15	1.167	Wilkens et al. 2017
154-926C-4H-4,30	33.800	37.54	1.178	Wilkens et al. 2017
154-926C-4H-4,91	34.410	38.15	1.198	Wilkens et al. 2017
154-926C-4H-4,139	34.890	38.63	1.216	Wilkens et al. 2017
154-926C-4H-5,79	35.790	39.53	1.254	Wilkens et al. 2017
154-926C-4H-6,4	36.540	40.28	1.283	Wilkens et al. 2017
154-926C-4H-6,52	37.020	40.76	1.301	Wilkens et al. 2017
154-926C-4H-6,109	37.590	41.33	1.318	Wilkens et al. 2017
154-926B-5H-2,44	37.440	41.90	1.328	Wilkens et al. 2017
154-926B-5H-2,105	38.050	42.51	1.359	Wilkens et al. 2017
154-926B-5H-3,59	39.090	43.55	1.389	Wilkens et al. 2017
154-926B-5H-4,4	40.040	44.50	1.420	Wilkens et al. 2017
154-926B-5H-4,60	40.600	45.06	1.442	Wilkens et al. 2017
154-926C-5H-2,142	41.420	45.80	1.464	Wilkens et al. 2017
154-926C-5H-3,49	41.990	46.37	1.484	Wilkens et al. 2017
154-926C-5H-3,94	42.440	46.82	1.504	Wilkens et al. 2017
154-926C-5H-4,88	43.880	48.26	1.536	Wilkens et al. 2017
154-926C-5H-4,121	44.210	48.59	1.547	Wilkens et al. 2017
154-926C-5H-5,36	44.860	49.24	1.567	Wilkens et al. 2017
154-926C-5H-5,84	45.340	49.72	1.578	Wilkens et al. 2017
154-926C-5H-5,127	45.770	50.15	1.587	Wilkens et al. 2017
154-926C-5H-6,4	46.040	50.42	1.596	Wilkens et al. 2017
154-926C-5H-6,40	46.400	50.78	1.606	Wilkens et al. 2017
154-926C-5H-6,67	46.670	51.05	1.616	Wilkens et al. 2017
154-926C-5H-6,118	47.180	51.56	1.634	Wilkens et al. 2017
154-926B-6H-1,99	45.990	51.99	1.645	Wilkens et al. 2017
154-926B-6H-2,15	46.650	52.65	1.674	Wilkens et al. 2017
154-926B-6H-2,135	47.850	53.85	1.708	Wilkens et al. 2017
154-926B-6H-3,25	48.250	54.25	1.718	Wilkens et al. 2017
154-926B-6H-3,50	48.500	54.50	1.728	Wilkens et al. 2017
154-926C-6H-1,112	49.120	54.81	1.738	Wilkens et al. 2017
154-926C-6H-1,144	49.440	55.13	1.749	Wilkens et al. 2017
154-926C-6H-2,70	50.200	55.89	1.771	Wilkens et al. 2017
154-926C-6H-2,131	50.810	56.50	1.797	Wilkens et al. 2017
154-926C-6H-3,25	51.250	56.94	1.811	Wilkens et al. 2017
154-926C-6H-3,55	51.550	57.24	1.822	Wilkens et al. 2017
154-926C-6H-3,82	51.820	57.51	1.832	Wilkens et al. 2017
154-926C-6H-3,111	52.110	57.80	1.843	Wilkens et al. 2017
154-926C-6H-3,148	52.480	58.17	1.854	Wilkens et al. 2017
154-926C-6H-4,25	52.750	58.44	1.864	Wilkens et al. 2017
154-926C-6H-4,48	52.980	58.67	1.874	Wilkens et al. 2017
154-926C-6H-4,81	53.310	59.00	1.885	Wilkens et al. 2017
154-926C-6H-5,39	54.390	60.08	1.915	Wilkens et al. 2017
154-926C-6H-5,70	54.700	60.39	1.926	Wilkens et al. 2017
154-926C-6H-5,100	55.000	60.69	1.936	Wilkens et al. 2017
154-926C-6H-6,21	55.710	61.40	1.958	Wilkens et al. 2017
154-926C-6H-6,52	56.020	61.71	1.968	Wilkens et al. 2017
154-926C-6H-6,124	56.740	62.43	1.995	Wilkens et al. 2017
154-926B-7H-2,5	56.050	62.73	2.011	Wilkens et al. 2017
154-926B-7H-2,40	56.400	63.08	2.023	Wilkens et al. 2017
154-926B-7H-3,4	57.540	64.22	2.062	Wilkens et al. 2017
154-926C-7H-2,84	59.840	65.14	2.097	Wilkens et al. 2017
154-926C-7H-2,115	60.150	65.45	2.108	Wilkens et al. 2017
154-926C-7H-3,27	60.770	66.07	2.128	Wilkens et al. 2017
154-926C-7H-3,78	61.280	66.58	2.140	Wilkens et al. 2017
154-926C-7H-4,76	62.760	68.06	2.188	Wilkens et al. 2017
154-926C-7H-4,117	63.170	68.47	2.200	Wilkens et al. 2017
154-926C-7H-5,16	63.660	68.96	2.211	Wilkens et al. 2017
154-926C-7H-5,37	63.870	69.17	2.221	Wilkens et al. 2017
154-926C-7H-5,96	64.460	69.76	2.233	Wilkens et al. 2017
154-926C-7H-6,37	65.370	70.67	2.255	Wilkens et al. 2017
154-926A-8H-2,139	63.890	72.04	2.303	Wilkens et al. 2017
154-926A-8H-3,24	64.240	72.39	2.315	Wilkens et al. 2017
154-926A-8H-3,69	64.690	72.84	2.336	Wilkens et al. 2017
154-926A-8H-3,114	65.140	73.29	2.347	Wilkens et al. 2017
154-926A-8H-4,134	66.840	74.99	2.408	Wilkens et al. 2017
154-926C-8H-2,138	69.880	76.46	2.448	Wilkens et al. 2017
154-926C-8H-3,91	70.910	77.49	2.487	Wilkens et al. 2017
154-926C-8H-4,130	72.800	79.38	2.545	Wilkens et al. 2017
154-926A-9H-1,134	71.840	81.44	2.602	Wilkens et al. 2017
154-926A-9H-2,49	72.490	82.09	2.624	Wilkens et al. 2017
154-926A-9H-2,134	73.340	82.94	2.648	Wilkens et al. 2017
154-926C-9H-1,111	77.610	85.64	2.717	Wilkens et al. 2017
154-926C-9H-2,108	79.080	87.11	2.765	Wilkens et al. 2017
154-926C-9H-3,15	79.650	87.68	2.785	Wilkens et al. 2017
154-926C-9H-3,76	80.260	88.29	2.808	Wilkens et al. 2017
154-926C-9H-3,123	80.730	88.76	2.832	Wilkens et al. 2017
154-926C-9H-4,43	81.430	89.46	2.853	Wilkens et al. 2017
154-926C-9H-4,93	81.930	89.96	2.873	Wilkens et al. 2017
154-926C-9H-4,136	82.360	90.39	2.887	Wilkens et al. 2017
154-926C-9H-5,40	82.900	90.93	2.904	Wilkens et al. 2017
154-926C-9H-5,100	83.500	91.53	2.924	Wilkens et al. 2017
154-926C-9H-6,12	84.120	92.15	2.946	Wilkens et al. 2017
154-926C-9H-6,76	84.760	92.79	2.968	Wilkens et al. 2017
154-926C-9H-6,103	85.030	93.06	2.979	Wilkens et al. 2017
154-926A-10H-2,144	82.940	93.34	2.992	Wilkens et al. 2017
154-926A-10H-3,104	84.040	94.44	3.028	Wilkens et al. 2017
154-926A-10H-4,24	84.740	95.14	3.050	Wilkens et al. 2017
154-926A-10H-4,104	85.540	95.94	3.072	Wilkens et al. 2017
154-926A-10H-4,134	85.840	96.24	3.083	Wilkens et al. 2017
154-926C-10H-2,112	88.620	97.38	3.121	Wilkens et al. 2017
154-926C-10H-2,145	88.950	97.71	3.132	Wilkens et al. 2017
154-926C-10H-3,37	89.370	98.13	3.143	Wilkens et al. 2017
154-926C-10H-3,70	89.700	98.46	3.155	Wilkens et al. 2017
154-926C-10H-3,119	90.190	98.95	3.165	Wilkens et al. 2017
154-926C-10H-3,142	90.420	99.18	3.175	Wilkens et al. 2017
154-926C-10H-4,18	90.680	99.44	3.185	Wilkens et al. 2017
154-926C-10H-4,109	91.590	100.35	3.221	Wilkens et al. 2017
154-926C-10H-5,13	92.130	100.89	3.239	Wilkens et al. 2017
154-926C-10H-5,100	93.000	101.76	3.259	Wilkens et al. 2017
154-926C-10H-6,46	93.960	102.72	3.286	Wilkens et al. 2017
154-926A-11H-2,64	91.640	103.28	3.315	Wilkens et al. 2017
154-926A-11H-2,94	91.940	103.58	3.325	Wilkens et al. 2017
154-926A-11H-2,124	92.240	103.88	3.337	Wilkens et al. 2017
154-926A-11H-3,34	92.840	104.48	3.356	Wilkens et al. 2017
154-926A-11H-3,104	93.540	105.18	3.383	Wilkens et al. 2017
154-926A-11H-4,14	94.140	105.78	3.409	Wilkens et al. 2017
154-926A-11H-4,34	94.340	105.98	3.419	Wilkens et al. 2017
154-926C-11H-1,64	96.140	106.28	3.429	Wilkens et al. 2017
154-926C-11H-1,97	96.470	106.61	3.440	Wilkens et al. 2017
154-926C-11H-1,121	96.710	106.85	3.450	Wilkens et al. 2017
154-926C-11H-2,4	97.040	107.18	3.462	Wilkens et al. 2017
154-926C-11H-2,31	97.310	107.45	3.471	Wilkens et al. 2017
154-926C-11H-2,64	97.640	107.78	3.483	Wilkens et al. 2017
154-926C-11H-2,145	98.450	108.59	3.513	Wilkens et al. 2017
154-926C-11H-3,28	98.780	108.92	3.523	Wilkens et al. 2017
154-926C-11H-3,61	99.110	109.25	3.534	Wilkens et al. 2017
154-926C-11H-3,100	99.500	109.64	3.545	Wilkens et al. 2017
154-926C-11H-3,124	99.740	109.88	3.554	Wilkens et al. 2017
154-926C-11H-4,4	100.040	110.18	3.564	Wilkens et al. 2017
154-926C-11H-4,67	100.670	110.81	3.585	Wilkens et al. 2017
154-926C-11H-5,7	101.570	111.71	3.611	Wilkens et al. 2017
154-926C-11H-5,43	101.930	112.07	3.621	Wilkens et al. 2017
154-926C-11H-5,94	102.440	112.58	3.639	Wilkens et al. 2017
154-926C-11H-5,121	102.710	112.85	3.649	Wilkens et al. 2017
154-926C-11H-6,61	103.610	113.75	3.675	Wilkens et al. 2017
154-926A-12H-3,4	102.040	114.07	3.686	Wilkens et al. 2017
154-926A-12H-3,104	103.040	115.07	3.716	Wilkens et al. 2017
154-926A-12H-4,44	103.940	115.97	3.747	Wilkens et al. 2017
154-926A-12H-4,74	104.240	116.27	3.756	Wilkens et al. 2017
154-926A-12H-5,14	105.140	117.17	3.788	Wilkens et al. 2017
154-926A-12H-5,44	105.440	117.47	3.799	Wilkens et al. 2017
154-926A-12H-5,74	105.740	117.77	3.808	Wilkens et al. 2017
154-926A-12H-5,114	106.140	118.17	3.819	Wilkens et al. 2017
154-926A-12H-6,4	106.540	118.57	3.831	Wilkens et al. 2017
154-926C-12H-2,16	106.660	118.94	3.841	Wilkens et al. 2017
154-926C-12H-2,52	107.020	119.30	3.852	Wilkens et al. 2017
154-926C-12H-2,79	107.290	119.57	3.862	Wilkens et al. 2017
154-926C-12H-2,118	107.680	119.96	3.875	Wilkens et al. 2017
154-926C-12H-3,55	108.550	120.83	3.903	Wilkens et al. 2017
154-926C-12H-3,79	108.790	121.07	3.913	Wilkens et al. 2017
154-926C-12H-3,118	109.180	121.46	3.924	Wilkens et al. 2017
154-926C-12H-4,43	109.930	122.21	3.946	Wilkens et al. 2017
154-926C-12H-4,121	110.710	122.99	3.966	Wilkens et al. 2017
154-926C-12H-5,127	112.270	124.55	4.010	Wilkens et al. 2017
154-926C-12H-6,19	112.690	124.97	4.019	Wilkens et al. 2017
154-926C-12H-6,49	112.990	125.27	4.029	Wilkens et al. 2017
154-926C-12H-6,85	113.350	125.63	4.040	Wilkens et al. 2017
154-926B-13H-1,90	112.400	126.32	4.061	Wilkens et al. 2017
154-926B-13H-2,55	113.550	127.47	4.095	Wilkens et al. 2017
154-926B-13H-2,90	113.900	127.82	4.106	Wilkens et al. 2017
154-926B-13H-2,130	114.300	128.22	4.116	Wilkens et al. 2017
154-926B-13H-3,15	114.650	128.57	4.127	Wilkens et al. 2017
154-926B-13H-3,45	114.950	128.87	4.137	Wilkens et al. 2017
154-926B-13H-3,74	115.240	129.16	4.147	Wilkens et al. 2017
154-926B-13H-3,130	115.800	129.72	4.160	Wilkens et al. 2017
154-926B-13H-4,55	116.550	130.47	4.177	Wilkens et al. 2017
154-926B-13H-4,90	116.900	130.82	4.187	Wilkens et al. 2017
154-926B-13H-4,145	117.450	131.37	4.198	Wilkens et al. 2017
154-926B-13H-5,55	118.050	131.97	4.209	Wilkens et al. 2017
154-926B-13H-5,95	118.450	132.37	4.220	Wilkens et al. 2017
154-926B-13H-5,130	118.800	132.72	4.231	Wilkens et al. 2017
154-926C-13H-3,85	118.350	132.98	4.241	Wilkens et al. 2017
154-926C-13H-3,127	118.770	133.40	4.252	Wilkens et al. 2017
154-926C-13H-4,3	119.030	133.66	4.264	Wilkens et al. 2017
154-926C-13H-4,42	119.420	134.05	4.279	Wilkens et al. 2017
154-926C-13H-4,112	120.120	134.75	4.301	Wilkens et al. 2017
154-926C-13H-4,142	120.420	135.05	4.313	Wilkens et al. 2017
154-926C-13H-5,31	120.810	135.44	4.324	Wilkens et al. 2017
154-926C-13H-5,61	121.110	135.74	4.334	Wilkens et al. 2017
154-926C-13H-5,85	121.350	135.98	4.345	Wilkens et al. 2017
154-926C-13H-5,112	121.620	136.25	4.355	Wilkens et al. 2017
154-926C-13H-5,145	121.950	136.58	4.366	Wilkens et al. 2017
154-926A-14H-3,135	122.350	137.83	4.416	Wilkens et al. 2017
154-926A-14H-4,35	122.850	138.33	4.437	Wilkens et al. 2017
154-926A-14H-4,95	123.450	138.93	4.455	Wilkens et al. 2017
154-926A-14H-5,4	124.040	139.52	4.477	Wilkens et al. 2017
154-926C-14H-1,22	124.220	140.08	4.495	Wilkens et al. 2017
154-926C-14H-1,115	125.150	141.01	4.542	Wilkens et al. 2017
154-926C-14H-1,144	125.440	141.30	4.554	Wilkens et al. 2017
154-926C-14H-2,27	125.770	141.63	4.567	Wilkens et al. 2017
154-926C-14H-2,64	126.140	142.00	4.578	Wilkens et al. 2017
154-926C-14H-2,91	126.410	142.27	4.588	Wilkens et al. 2017
154-926C-14H-2,124	126.740	142.60	4.599	Wilkens et al. 2017
154-926C-14H-3,10	127.100	142.96	4.611	Wilkens et al. 2017
154-926C-14H-3,61	127.610	143.47	4.634	Wilkens et al. 2017
154-926C-14H-3,88	127.880	143.74	4.645	Wilkens et al. 2017
154-926C-14H-3,124	128.240	144.10	4.657	Wilkens et al. 2017
154-926C-14H-4,4	128.540	144.40	4.669	Wilkens et al. 2017
154-926C-14H-4,34	128.840	144.70	4.681	Wilkens et al. 2017
154-926C-14H-4,82	129.320	145.18	4.702	Wilkens et al. 2017
154-926C-14H-4,139	129.890	145.75	4.727	Wilkens et al. 2017
154-926C-14H-5,46	130.460	146.32	4.748	Wilkens et al. 2017
154-926C-14H-5,109	131.090	146.95	4.773	Wilkens et al. 2017
154-926C-14H-6,19	131.690	147.55	4.792	Wilkens et al. 2017
154-926C-14H-6,88	132.380	148.24	4.814	Wilkens et al. 2017
154-926B-15H-2,84	132.840	149.38	4.850	Wilkens et al. 2017
154-926B-15H-3,70	134.200	150.74	4.898	Wilkens et al. 2017
154-926B-15H-3,130	134.800	151.34	4.923	Wilkens et al. 2017
154-926B-15H-4,45	135.450	151.99	4.942	Wilkens et al. 2017
154-926B-15H-4,110	136.100	152.64	4.966	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-15H-5,81	137.310	153.85	5.014	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-15H-5,126	137.760	154.30	5.036	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-15H-6,46	138.460	155.00	5.057	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-15H-4,29	138.290	155.41	5.080	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-15H-4,74	138.740	155.86	5.103	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-15H-4,131	139.310	156.43	5.130	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-15H-5,29	139.790	156.91	5.150	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-15H-5,89	140.390	157.51	5.172	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-16H-3,33	140.330	157.96	5.192	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-16H-3,93	140.930	158.56	5.222	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-16H-4,3	141.530	159.16	5.248	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-16H-4,43	141.930	159.56	5.265	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-16H-4,93	142.430	160.06	5.285	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-16H-4,133	142.830	160.46	5.302	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-16H-5,23	143.230	160.86	5.322	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-16H-5,73	143.730	161.36	5.343	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-16H-6,23	144.730	162.36	5.393	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-2,5	144.550	162.88	5.416	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-2,50	145.000	163.33	5.436	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-2,101	145.510	163.84	5.459	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-2,137	145.870	164.20	5.481	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-3,44	146.440	164.77	5.508	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-3,80	146.800	165.13	5.530	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-3,125	147.250	165.58	5.550	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-4,20	147.700	166.03	5.572	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-4,65	148.150	166.48	5.589	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-4,104	148.540	166.87	5.603	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-4,146	148.960	167.29	5.625	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-5,35	149.350	167.68	5.643	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-5,71	149.710	168.04	5.663	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-5,107	150.070	168.40	5.680	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-16H-6,2	150.520	168.85	5.702	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-17H-1,65	150.150	169.29	5.721	Zeeden et al. 2013 updated in Wilkens et al. 2017
