/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S31. Age model of IODP Site 321U1337. PANGAEA, https://doi.org/10.1594/PANGAEA.917653, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Coverage:	LATITUDE: 3.833000 * LONGITUDE: -123.206000
	MINIMUM DEPTH, sediment/rock: 103.720 m * MAXIMUM DEPTH, sediment/rock: 404.220 m
Event(s):	321-U1337 * LATITUDE: 3.833000 * LONGITUDE: -123.206000 * ELEVATION: -4476.0 m * CAMPAIGN: Exp321 (Pacific Equatorial Age Transect II / Juan de Fuca) (URI: https://doi.org/10.2204/iodp.proc.320321.2010) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mid Depth rmcd (Lyle et al., 2019 splice)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	392 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Reference
321-U1337D-36X-4,24	319.240	353.230	15.721	Holbourn et al. 2015, Kochhan et al.2016
321-U1337D-36X-4,140	320.400	354.390	15.799	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-20X-3,81.1	321.111	358.130	15.892	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-20X-5,9.1	323.391	360.410	16.010	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-21X-1,126.5	328.065	366.419	16.341	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-21X-2,130.5	329.605	367.960	16.456	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-37X-4,10	342.600	374.780	16.812	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-37X-4,149	343.990	376.170	16.898	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-37X-5,51	344.510	376.690	16.927	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-22X-3,40.9	339.809	379.480	17.095	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-22X-4,80.9	341.709	381.380	17.189	Holbourn et al. 2015, Kochhan et al.2016
321-U1337D-39X-4,32	348.020	385.450	17.301	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-23X-2,13.4	347.634	388.930	17.455	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-23X-4,62.4	351.124	392.420	17.585	Holbourn et al. 2015, Kochhan et al.2016
321-U1337D-40X-2,124	355.540	393.650	17.661	Holbourn et al. 2015, Kochhan et al.2016
321-U1337D-40X-3,51	356.310	394.420	17.727	Holbourn et al. 2015, Kochhan et al.2016
321-U1337D-40X-4,102	358.320	396.430	17.884	Holbourn et al. 2015, Kochhan et al.2016
321-U1337D-40X-5,101	359.810	397.920	17.983	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-24X-3,2.4	358.624	399.370	18.058	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-24X-3,131.4	359.914	400.660	18.150	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-40X-1,34	367.140	403.650	18.343	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-40X-2,42	368.720	405.230	18.434	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-40X-3,42	370.220	406.730	18.523	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-25X-3,109.4	369.294	411.210	18.717	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-25X-5,2.4	371.224	413.140	18.832	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-41X-3,11	379.510	417.000	19.035	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-41X-5,53	382.930	420.420	19.158	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-26X-3,115.4	378.854	422.350	19.234	Holbourn et al. 2015, Kochhan et al.2016
321-U1337D-43X-4,69	386.790	430.610	19.558	Holbourn et al. 2015, Kochhan et al.2016
321-U1337C-27X-3,43.4	387.734	433.430	19.632	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-43X-1,140	397.000	436.690	19.764	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-43X-3,93	399.530	439.220	19.841	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-43X-5,50	402.100	441.790	19.934	Holbourn et al. 2015, Kochhan et al.2016
321-U1337A-43X-7,12	404.220	443.910	20.008	Holbourn et al. 2015, Kochhan et al.2016
